#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5474.563035701896 All 4.2189084869605695 1.6822079707193602 18.291910996843534 -0.010002837027245914
Zeropoint AB|CNIa02|SDSS_i 7485.494502002687 All 0.8018210691221876 0.08850369160481497 2.4360111293183153 -0.12364294879503697
Zeropoint AB|CNIa02|SDSS_r 6172.713914629295 All 0.04058446007322147 -0.4913040771444659 -1.9893482422160624 -0.26202907048901886
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4375.965477191862 All -0.6831010673817935 0.49705359349950995 0.11395976016078624 0.38950069968186685
Check All|All|All All All 4.378212948774185 1.7764611786792193 18.852533644106572 -0.006174156629434879
