#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5474.563035701896 All 3.649446689166088 1.5446687784364967 15.997025145777062 0.028278349915917444
Zeropoint AB|CNIa02|SDSS_i 7485.494502002687 All 0.8928691210557433 0.07780340785556072 2.6580916699536887 -0.14687529459821733
Zeropoint AB|CNIa02|SDSS_r 6172.713914629295 All 0.04124538838092362 -0.4947338128755612 -2.161459484226635 -0.27104206859789376
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4375.965477191862 All -0.679910964386099 0.5271267667680037 0.3028912755293588 0.4066885458962948
Check All|All|All All All 3.9036502342166557 1.6548651401845 16.796548607033472 0.01704953261610115
