#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4056.4470731972965    All      -1.0115027312566114        0.3959543229090201         0.45155766917419626        0.4786060113493473         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7314.685392624112     All      0.42538933583167493        -0.14842241573447268       2.597128852548547          -0.07101143282312594       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    5900.7145730300335    All      1.4970940937827224         0.058309186460192564       -2.956086467932195         -0.6005761411821631        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    4973.934859432378     All      0.09965669425829293        0.6858390174656392         0.0745437881718658         0.1942654143931244         
Check         All|All|All                       All                   All      1.010637392616079          0.9916801111003792         0.16714384196241383        0.0012838517371827063      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4056.4470731972965    All      -0.0005267640255962667     0.00011715346684716728     -0.00036553701325361623    0.00019343287349436113     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7314.685392624112     All      -0.00021471999823759294    4.399858497111039e-05      -0.000844179608319029      4.660129539706721e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    5900.7145730300335    All      -0.0005449318679433914     7.646087480475803e-05      0.0003673206739963577      0.000218799894164707       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    4973.934859432378     All      -3.571822060971359e-05     -0.00011180738609961725    0.00047581045928795816     -3.5515089796265124e-06    
MWEBV         All|All|All                       All                   All      -0.7363104804641583        -3.6835176059909713        0.37149651378109994        -0.9434241378302288        
Redshift      All|All|All                       All                   All      7.3691460981736014         1.2350041328726746         2.8392395674142312         -1.8713896236368655        
