#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4056.4470731972965    All      -0.8669109731370752        0.4567610677902678        0.9025913455174861        0.47144203754502895        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7314.685392624112     All      0.8595816523247082         -0.2234243487581722       5.9584878344723995        -0.08687073868409173       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    5900.7145730300335    All      0.9457681978611394         0.18900454310539772       -10.144085486346514       -0.699186764294858         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    4973.934859432378     All      0.06319034370649834        0.5690476979118841        3.402215128448337         0.31659961785107754        
Check         All|All|All                       All                   All      1.0016292207552706         0.9913889600493775        0.11920882209170847       0.001984152417156715       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4056.4470731972965    All      -0.0008004307350946069     0.00030686218587743484    -0.0009365728779702475    0.0003188867871954781      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7314.685392624112     All      -0.00037834072784282476    9.848828260917545e-05     -0.002606735693628797     3.899225421005049e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    5900.7145730300335    All      -0.00030263904154979236    3.3468833698327176e-05    0.0017038228985960158     0.00018551518317777644     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    4973.934859432378     All      -5.206856684505736e-05     -5.111872036457895e-05    -0.000501687399989319     -2.2078608246924528e-05    
MWEBV         All|All|All                       All                   All      -0.6672640639189558        -3.7015349604395453       0.8298772958635896        -0.9513282433183315        
Redshift      All|All|All                       All                   All      8.214944243801007          -0.1913580548343674       19.725682746150703        -1.857942593619781         
