#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6356.139778303623     All      1.0805932591967287         -0.002628120858183536     -0.24869561235676407       -0.36393898337061525       
Zeropoint     AB|SDSS|SDSS_z            7556.920357155027     All      0.08301638864653421        0.002342865173332598      0.10338134672106536        -0.021664585984500218      
Zeropoint     AB|SDSS|SDSS_r            5241.421584421257     All      0.7947878673715094         0.34047492753277453       -0.08611504306593742       -0.15182758981718836       
Zeropoint     AB|SDSS|SDSS_u            3050.453349306373     All      -0.04151794428729803       0.019208102713541564      0.05168400562964859        0.02208689113097767        
Zeropoint     AB|SDSS|SDSS_g            4011.1864590264913    All      -0.9224233112169837        0.6400357766144893        0.18328686337065747        0.5171235791899848         
Check         All|All|All               All                   All      0.99445625971049           0.9994335511759544        0.0035415602986699213      0.001779311148658702       
Lambda        AB|SDSS|SDSS_i            6356.139778303623     All      -0.00041490637603080343    -3.736832000558592e-05    -0.0007330180319793182     9.026533734333906e-05      
Lambda        AB|SDSS|SDSS_z            7556.920357155027     All      -7.783468663387248e-06     -5.105815727570578e-07    -1.0021995986113175e-05    1.9217829447989206e-06     
Lambda        AB|SDSS|SDSS_r            5241.421584421257     All      0.00020193616524473673     6.016122599295508e-05     -0.001700357280943047      -0.00012205989796123098    
Lambda        AB|SDSS|SDSS_u            3050.453349306373     All      -4.810619346901039e-05     1.8145279572817638e-05    2.3217182129011025e-05     2.261636058420278e-05      
Lambda        AB|SDSS|SDSS_g            4011.1864590264913    All      -0.0009230133015757208     0.0005030615242506655     -0.0007218476772537539     0.0004323067407304958      
MWEBV         All|All|All               All                   All      -0.6518011006711983        -3.2991768887638884       0.042693036497765124       -0.8604321961213343        
Redshift      All|All|All               All                   All      5.078095486615609          -1.1123176894534126       -6.258276183918188         -2.2956993528553142        
