#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5568.881252516984    All      0.8644333702466259        0.18177264825745          -0.5366663760022039       -0.24631401156399932       
Zeropoint     AB|DECam|DECam_r          4583.912587815422    All      -0.46711103111256147      0.4313582881486866        -1.5613405306443173       0.2229855591410347         
Zeropoint     AB|DECam|DECam_g          3448.951368059197    All      -0.39247487794275715      0.28128743982982485       0.7409135640410125        0.2525301224906191         
Zeropoint     AB|DECam|DECam_z          6525.909787990019    All      0.9895982942921291        0.10664572813361417       1.3800259854197972        -0.22602247757524518       
Check         All|All|All               All                  All      0.9944457554834365        1.0010641043695756        0.022932642814288418      0.003179192492409333       
Lambda        AB|DECam|DECam_i          5568.881252516984    All      8.429726688046445e-06     -2.912266955371519e-05    -0.0002327732319566262    -2.2619651146520985e-05    
Lambda        AB|DECam|DECam_r          4583.912587815422    All      -0.0003773464465499033    -0.0003060989543209481    -0.0028857374905362425    -0.00010556955829788601    
Lambda        AB|DECam|DECam_g          3448.951368059197    All      -0.000978854867992542     0.00031714328199921877    -0.0010017815061094397    0.00037744432692337704     
Lambda        AB|DECam|DECam_z          6525.909787990019    All      -0.0003213081204972319    -4.942240316420209e-05    -0.0006741388568357556    5.847840193698088e-05      
MWEBV         All|All|All               All                  All      -0.43263715166663896      -2.5269627165425135       0.24595482560079152       -0.6712149035076763        
Redshift      All|All|All               All                  All      5.033635716154775         0.32119396416590007       0.5209388851613594        -1.5117502034924328        
