#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5568.881252516984    All      0.8647293281179327         0.18251118606151806        -0.6169153470928659       -0.24975099172903492      
Zeropoint     AB|DECam|DECam_r          4583.912587815422    All      -0.34667342835385045       0.479082927940766          -0.7516031977912357       0.2354354130935561        
Zeropoint     AB|DECam|DECam_g          3448.951368059197    All      -0.4424782397957847        0.24747543676237882        0.303723826893839         0.23829441069792168       
Zeropoint     AB|DECam|DECam_z          6525.909787990019    All      0.9176447457765758         0.0910473777977927         1.0766250226491085        -0.2212051269953926       
Check         All|All|All               All                  All      0.9932224057448732         1.0001169285624556         0.011830304658845714      0.0027737050670502417     
Lambda        AB|DECam|DECam_i          5568.881252516984    All      8.658331316625791e-07      8.416890294272619e-06      0.00014566755827491313    8.960101839176918e-06     
Lambda        AB|DECam|DECam_r          4583.912587815422    All      -0.00022189324000497246    -0.0002379363172152404     -0.0019305663303926727    -9.137806660392969e-05    
Lambda        AB|DECam|DECam_g          3448.951368059197    All      -0.0008419501705397238     0.0003050696007838052      -0.0006190854736841782    0.00034599513401589466    
Lambda        AB|DECam|DECam_z          6525.909787990019    All      -0.0002115199511068889     -2.5794216315756117e-05    -0.0003052546551362626    4.687486874184521e-05     
MWEBV         All|All|All               All                  All      -0.44233025915099455       -2.5278932320183856        0.19786382444759443       -0.6705067195172868       
Redshift      All|All|All               All                  All      4.374209055341804          -0.03569497420965462       -4.843922527353132        -1.6526128390224226       
