#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5292.165414278356    All      0.36393545330498783        0.6910850552332093        -0.2011997294312692        0.09758476840265069        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4287.546447329479    All      -1.0511406668249514        0.6576784935738544        -0.02609012285744418       0.5554543366668847         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8150.053738675428    All      0.358547931695388          -0.10106002470404718      0.2090714132828475         -0.1403795351073893        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6307.196502848536    All      1.3264148644046267         -0.25056548427091485      0.018789492366005585       -0.5128358919287944        
Check         All|All|All                       All                  All      0.9977575825800511         0.9971380398321017        0.0005710533601396908      -0.00017632196664829625    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5292.165414278356    All      7.098320480555538e-06      0.0003204472993364535     -0.0014528228325131768     3.723526084742434e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4287.546447329479    All      -0.0007406726990125764     0.00033943031033188394    -0.0006347221054600957     0.00032350035208352683     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8150.053738675428    All      -7.3031209496085475e-06    1.0960354747374388e-05    -4.3598345074016695e-05    4.003420984313566e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6307.196502848536    All      -0.00035015229190253085    0.00010693794138229586    -0.0010751171948128672     0.00010091178423305013     
MWEBV         All|All|All                       All                  All      -0.8514497801428091        -4.068864515264625        0.03840665250304864        -1.046303916524071         
Redshift      All|All|All                       All                  All      5.95379765610679           -2.649779648875761        3.9644065134888113         -2.625554922682275         
