#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5292.165414278356    All      0.32842303581459925        0.6880508213634506        -0.43659545313994297      0.09765935129272939       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4287.546447329479    All      -1.0294356060794099        0.65649197321207          0.07669021864635528       0.5525844101778601        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8150.053738675428    All      0.3565027255590157         -0.09003594997918363      0.17521673313928288       -0.13763321925020117      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6307.196502848536    All      1.3008967468230364         -0.22952510953926364      0.05114695193888519       -0.4962262944451703       
Check         All|All|All                       All                  All      0.9563869021172415         1.0249817350570734        -0.13354154941541962      0.016384247775218075      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5292.165414278356    All      -0.00012029584684750195    0.00036898909941627395    -0.002158202711618499     6.306552924170732e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4287.546447329479    All      -0.0007285853145901676     0.0003175254405204836     -0.000652426074187124     0.0003116379097547281     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8150.053738675428    All      -1.7168940931769758e-05    2.359768944559501e-05     -9.59741000014167e-05     8.99614940624452e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6307.196502848536    All      -0.0004489736075112434     0.00016170859995476313    -0.0016304551770705636    0.00012615955967665776    
MWEBV         All|All|All                       All                  All      -0.872983366216225         -4.054187772786921        -0.016740957588873284     -1.0369700057851374       
Redshift      All|All|All                       All                  All      6.096386073848798          -2.5807498424962105       6.633114131452489         -2.5304232183504944       
