#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3725.1111377258194    All      -1.12637901199126          0.4499217557874857         -0.08212142946972811      0.5097883165932876        
Zeropoint     AB|SDSS|SDSS_z            7017.965501453457     All      0.0595420495039253         0.0081458182304317         0.1301726039992679        -0.01093243795621951      
Zeropoint     AB|SDSS|SDSS_i            5902.823846001763     All      1.2644923338978598         0.1364312545693025         -0.3031401878602291       -0.3809743599561592       
Zeropoint     AB|SDSS|SDSS_r            4867.606659796811     All      0.8000609253356175         0.40467702021640406        0.2593831168342109        -0.11721446844069269      
Check         All|All|All               All                   All      0.9977162967461427         0.999175848803624          0.004294103503521551      0.0006670502402162104     
Lambda        AB|SDSS|SDSS_g            3725.1111377258194    All      -0.0017272354524445394     0.0005692115939618924      -0.001208920233665898     0.0006940797962196103     
Lambda        AB|SDSS|SDSS_z            7017.965501453457     All      -6.362299285579445e-05     -7.242361768638112e-06     -6.8265724866028e-05      1.531864064511743e-05     
Lambda        AB|SDSS|SDSS_i            5902.823846001763     All      -0.00018368011363669871    1.239854782183043e-05      0.0005534846241436119     8.856874754599479e-05     
Lambda        AB|SDSS|SDSS_r            4867.606659796811     All      -0.00018328762965968376    -0.00011350041319972295    -0.0017219714326198049    -5.411168397685749e-05    
MWEBV         All|All|All               All                   All      -0.5622344423584638        -2.9591764367095763        0.0831289650900846        -0.7770532006950395       
Redshift      All|All|All               All                   All      5.180567430156656          -0.1373340457003991        7.75222369558346          -1.3862693255902676       
