#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3725.1111377258194    All      -1.0911575442593713        0.4438694073124694         -0.1556033411010155       0.4930649165605868         
Zeropoint     AB|SDSS|SDSS_z            7017.965501453457     All      0.11363355091662036        0.012843159694675421       0.1733542387055378        -0.02509474284015839       
Zeropoint     AB|SDSS|SDSS_i            5902.823846001763     All      1.1913164697644194         0.13133339563733415        -0.14676169218297955      -0.3518206599205712        
Zeropoint     AB|SDSS|SDSS_r            4867.606659796811     All      0.7848200312227571         0.41096303582062177        0.1331117074733238        -0.1158373587877166        
Check         All|All|All               All                   All      0.9986125076444258         0.9990089984651007         0.004100912894866526      0.00031215501214061636     
Lambda        AB|SDSS|SDSS_g            3725.1111377258194    All      -0.0017483464023919236     0.0006204514060757406      -0.001193867293311564     0.0007183185632846841      
Lambda        AB|SDSS|SDSS_z            7017.965501453457     All      -5.087581990606306e-05     -5.8013465429280604e-06    -8.232854913472321e-05    1.1008293853966749e-05     
Lambda        AB|SDSS|SDSS_i            5902.823846001763     All      -0.0001831102175109643     -1.749793133152979e-05     6.187761256123419e-05     5.6706683746033745e-05     
Lambda        AB|SDSS|SDSS_r            4867.606659796811     All      -0.00021884286566593923    -8.536176919477296e-05     -0.0016170135055903988    -2.8680701561797534e-05    
MWEBV         All|All|All               All                   All      -0.5585063757028341        -2.9627429068952438        0.08046253031953352       -0.7795482620647015        
Redshift      All|All|All               All                   All      4.744241084101773          -0.3154031242635469        5.785689259728949         -1.3899038370626886        
