#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|PS|PS_i 7067.107092948688 All 0.48816530407944814 0.06448657297172833 1.8919489729949661 -0.05357710808058941
Zeropoint AB|PS|PS_z 8121.830472163496 All 0.28114681446824275 -0.005257311783922525 1.6018625176821604 -0.021807479260491633
Zeropoint AB|PS|PS_r 5834.717943009583 All 0.5171487077206942 0.09307865622266043 -7.366734064033478 -0.46687707435525094
Zeropoint AB|PS|PS_g 4594.511689486484 All -0.6108274819969113 1.104878335172634 3.87436453019853 0.7317569243670174
Check All|All|All All All 0.675633344271474 1.2571862525831001 0.0014419568421781825 0.1894952626706855
