#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7067.107092948688    All      1.0260246031729694        -0.2483092160115774        5.41358203948772          -0.17350914650642638      
Zeropoint     AB|PS|PS_z                8121.830472163496    All      0.4677492759875319        -0.3189241972343382        2.6460970595406677        -0.13816227233381062      
Zeropoint     AB|PS|PS_r                5834.717943009583    All      0.32387172917410445       0.7726727153499979         -12.943629552372771       -0.43142549267074154      
Zeropoint     AB|PS|PS_g                4594.511689486484    All      -0.8202584627742304       0.7972285068774454         5.032911730885241         0.751464454978161         
Check         All|All|All               All                  All      0.9973871455603749        1.0026678089815277         0.14896127754085597       0.008367543467182492      
Lambda        AB|PS|PS_i                7067.107092948688    All      -0.000833999109470931     0.000272884992654282       -0.00451497231844117      0.00015906608941328103    
Lambda        AB|PS|PS_z                8121.830472163496    All      0.0001797124586127803     -0.00012195996772751656    0.0010092608273455234     -5.322595862995444e-05    
Lambda        AB|PS|PS_r                5834.717943009583    All      -7.088941780141145e-05    -6.481151724234196e-05     0.002559543976988979      0.00011620046430181097    
Lambda        AB|PS|PS_g                4594.511689486484    All      -0.0001667163537463223    -1.853421329741394e-05     -0.0012141362701642755    -5.913527219412845e-06    
MWEBV         All|All|All               All                  All      -0.5910060067207641       -3.926480350280759         1.1639769407289329        -1.0345307826319645       
Redshift      All|All|All               All                  All      5.64112731370904          -0.45800151262884725       13.457869667470423        -1.3861240006170814       
