#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          5204.906911075797    All      0.7227234288186531        0.33498055941993954        0.9656003668682356         -0.0832102993934089        
Zeropoint     AB|DECam|DECam_z          6099.385391134779    All      1.2740982999749495        0.030636386937921145       -0.2710223080281682        -0.41713093460484935       
Zeropoint     AB|DECam|DECam_r          4284.314429815554    All      -0.6881403049147079       0.5256082529408346         -0.6033508968491974        0.36843305699908874        
Zeropoint     AB|DECam|DECam_g          3223.532698504221    All      -0.3224316667226488       0.10958835220904461        -0.09489780583328278       0.13648827997802399        
Check         All|All|All               All                  All      0.9862497571562462        1.0008135515077399         -0.0036706438424127796     0.004580102978854472       
Lambda        AB|DECam|DECam_i          5204.906911075797    All      0.0001801520270586107     6.987336619045062e-05      0.0004847822018057726      -1.4287784762465542e-05    
Lambda        AB|DECam|DECam_z          6099.385391134779    All      -0.0004804692012366502    -3.5299038182144446e-05    -0.0006963750201250618     0.00011393054895679879     
Lambda        AB|DECam|DECam_r          4284.314429815554    All      -0.0002796831650815451    -1.7950450739167344e-05    -0.001975230711950621      -2.8905189559795906e-06    
Lambda        AB|DECam|DECam_g          3223.532698504221    All      -0.0006509032379808168    0.00020454505580484652     -0.00044329105959681084    0.000258865608671303       
MWEBV         All|All|All               All                  All      -0.38498943717544387      -2.317404871809181         -0.07353301249224398       -0.632732722262272         
Redshift      All|All|All               All                  All      4.520557353984137         0.027433584911484843       -4.554867938789275         -1.666821067324685         
