#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5204.906911075797    All      0.620287349291388         0.3062078366733445         0.5269406892751147        -0.0787910873574439       
Zeropoint     AB|DECam|DECam_z          6099.385391134779    All      1.2412331966202892        0.03788446195205353        -0.41530706172893506      -0.4105035186075244       
Zeropoint     AB|DECam|DECam_r          4284.314429815554    All      -0.5562693878028672       0.5518810123133377         0.07226366078117041       0.364185837668803         
Zeropoint     AB|DECam|DECam_g          3223.532698504221    All      -0.31965081783821275      0.1047557624801243         -0.18769403765026782      0.12986726291864834       
Check         All|All|All               All                  All      0.9856003402705972        1.00072907341886           -0.0037967493229177363    0.004758494622483095      
Lambda        AB|DECam|DECam_i          5204.906911075797    All      0.0002009454483460477     8.493995735768031e-05      0.000300130561886598      -2.439335635501741e-05    
Lambda        AB|DECam|DECam_z          6099.385391134779    All      -0.0003342815260669897    -3.1262360907719644e-05    -0.0006064617342452566    7.163970930542994e-05     
Lambda        AB|DECam|DECam_r          4284.314429815554    All      -0.0003433626997291331    6.480199588679816e-05      -0.001800339341031008     5.261179345103685e-05     
Lambda        AB|DECam|DECam_g          3223.532698504221    All      -0.0008071481665736429    0.00024234308145456597     -0.0007881725612387978    0.0003066813052568383     
MWEBV         All|All|All               All                  All      -0.39124452484229444      -2.3141272301641536        -0.05898805004382532      -0.6289785238364376       
Redshift      All|All|All               All                  All      4.745476838091578         -0.162161051721732         -1.9568566708027522       -1.6859046429033513       
