#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4791.931156875829     All      0.7927044904676372         0.4235749509810205         0.7061937217892167        -0.08872345263892314       
Zeropoint     AB|SDSS|SDSS_g            3667.1977362358725    All      -1.1370040162547215        0.4133300211286439         -0.17031553075873562      0.49739440054378453        
Zeropoint     AB|SDSS|SDSS_i            5811.054071979226     All      1.1561223767897153         0.13432674116238275        -1.0413366739876917       -0.3793025276754548        
Zeropoint     AB|SDSS|SDSS_z            6908.858889945378     All      0.185568132970613          0.027794763245836407       0.5077653275870397        -0.02873274262063588       
Check         All|All|All               All                   All      0.9973909839732442         0.9990264765178836         0.002306844629829108      0.0006356776087706739      
Lambda        AB|SDSS|SDSS_r            4791.931156875829     All      -7.137358350595353e-05     -5.426326521343604e-05     -0.0010963876340548229    -4.3353351000975006e-05    
Lambda        AB|SDSS|SDSS_g            3667.1977362358725    All      -0.0018226328052496216     0.0005855244399529396      -0.001405299530025162     0.000721703977064858       
Lambda        AB|SDSS|SDSS_i            5811.054071979226     All      -0.00014487440533500725    -4.746030311601528e-06     0.0003427484864215613     6.093971259386308e-05      
Lambda        AB|SDSS|SDSS_z            6908.858889945378     All      -9.235143700460859e-05     -1.4601304724677044e-05    -0.0002810853573313962    1.2782227467599438e-05     
MWEBV         All|All|All               All                   All      -0.565226966014182         -2.8917134571244674        0.07712826765652325       -0.7543713089385479        
Redshift      All|All|All               All                   All      4.987478739571095          -0.8114076769047074        4.09902406834175          -1.705967465509115         
