#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4791.931156875829     All      0.8655911127216793         0.4443798166215984         0.8280577460224406        -0.10024996250651678       
Zeropoint     AB|SDSS|SDSS_g            3667.1977362358725    All      -1.089600995970543         0.39119303684955753        -0.35208943884647537      0.4666311985987406         
Zeropoint     AB|SDSS|SDSS_i            5811.054071979226     All      1.04968555436043           0.13724284783016572        -0.9142490089044828       -0.3380113422639018        
Zeropoint     AB|SDSS|SDSS_z            6908.858889945378     All      0.17158280462574937        0.025953601394057557       0.44116123600256885       -0.027749222768514624      
Check         All|All|All               All                   All      0.9972584757373156         0.9987693026953792         0.0028805342740513273     0.0006206710598073775      
Lambda        AB|SDSS|SDSS_r            4791.931156875829     All      -0.0001687632941747731     -5.9231832532639354e-05    -0.0011343650659318804    -1.4943502407340027e-05    
Lambda        AB|SDSS|SDSS_g            3667.1977362358725    All      -0.00170887945337197       0.0005463213110927722      -0.001735190585460813     0.0006571594965005247      
Lambda        AB|SDSS|SDSS_i            5811.054071979226     All      -0.00015660481780752498    -1.7999034750199386e-05    0.0002803015785269054     5.765703560765852e-05      
Lambda        AB|SDSS|SDSS_z            6908.858889945378     All      -8.853186395346141e-05     -1.3643973652493746e-05    -0.0002359292386339167    1.3865011273003607e-05     
MWEBV         All|All|All               All                   All      -0.5788249951297368        -2.8878612437580387        0.08292384202472          -0.7484285610002982        
Redshift      All|All|All               All                   All      4.343792393686558          -0.9044790716819406        0.4574595178006305        -1.6891203620292548        
