#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7364.225204239038     All      0.09177374717386896        0.001971048228810446       0.04535072731945977        -0.027227898795535027     
Zeropoint     AB|SDSS|SDSS_i            6194.063526517278     All      1.2490943617171983         0.04536265018053598        -0.2599438912566643        -0.4036951220321907       
Zeropoint     AB|SDSS|SDSS_g            3908.9045569332898    All      -1.0479458593040936        0.6019615715873172         0.048110883215368716       0.5395760983361291        
Zeropoint     AB|SDSS|SDSS_r            5107.7697148801235    All      0.7053526496163387         0.3493442546918857         0.16974175743703634        -0.10838885151647527      
Check         All|All|All               All                   All      0.9982748992033126         0.9986395246885493         0.003259476715200549       0.00026422599192808816    
Lambda        AB|SDSS|SDSS_z            7364.225204239038     All      -2.6573966099537176e-05    -1.4763121446761014e-06    -2.0892859956920635e-05    7.242779198945586e-06     
Lambda        AB|SDSS|SDSS_i            6194.063526517278     All      -0.00042303851167062117    -8.18864077010067e-05      -0.0007735249387775888     7.660559848764978e-05     
Lambda        AB|SDSS|SDSS_g            3908.9045569332898    All      -0.001208204960765489      0.0003382762557316265      -0.0027225837376964293     0.0003822434020953435     
Lambda        AB|SDSS|SDSS_r            5107.7697148801235    All      0.00011093780491491255     2.6518140287822923e-05     -0.00013773593477516688    -3.364478426426303e-05    
MWEBV         All|All|All               All                   All      -0.5573793293539131        -3.1846476392468404        0.16754142518717874        -0.8483111187759882       
Redshift      All|All|All               All                   All      5.293708414203677          0.6679510906202779         -2.747798312252403         -1.6293829616814262       
