#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7364.225204239038     All      0.10067708197118681        0.0036634816519054425      0.06737314525521855       -0.028593967237562353      
Zeropoint     AB|SDSS|SDSS_i            6194.063526517278     All      1.2260424774800789         0.050481415033232224       -0.10776288610765945      -0.38772787551908666       
Zeropoint     AB|SDSS|SDSS_g            3908.9045569332898    All      -1.017011872012418         0.569603014851694          -0.286127154380232        0.5040441259654789         
Zeropoint     AB|SDSS|SDSS_r            5107.7697148801235    All      0.6879761600150837         0.3754099287347046         0.33198681432190513       -0.08699805788868992       
Check         All|All|All               All                   All      0.9976838474539315         0.9991578402715362         0.0054699190892322225     0.0007242253201399373      
Lambda        AB|SDSS|SDSS_z            7364.225204239038     All      -2.2901243593997532e-05    -4.145913237979622e-07     -1.011083171202981e-05    6.873442451352276e-06      
Lambda        AB|SDSS|SDSS_i            6194.063526517278     All      -0.0002203622465314644     -2.8317376766569417e-05    -9.762646124514512e-05    5.8198711587723154e-05     
Lambda        AB|SDSS|SDSS_g            3908.9045569332898    All      -0.0011126778689881454     0.0004250667386787817      -0.001928193765183568     0.0004148475771455304      
Lambda        AB|SDSS|SDSS_r            5107.7697148801235    All      9.256995677695447e-05      5.417402802965901e-05      -0.0001897876438147836    -2.0976168061863458e-05    
MWEBV         All|All|All               All                   All      -0.5661518604510132        -3.187280131840531         0.12418881660195817       -0.8482457340439901        
Redshift      All|All|All               All                   All      5.050782757984354          0.5278499549365989         -3.474301575264574        -1.628310136436157         
