#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_i            6144.627580931621     All      1.2068477505209831         0.031112136351651998       -0.19333824494084384       -0.391603567988999       
Zeropoint     AB|SDSS|SDSS_r            5067.003677430254     All      0.848215443072555          0.4417416246734973         0.6195157759825154         -0.10475575149493585     
Zeropoint     AB|SDSS|SDSS_g            3877.7068799723093    All      -1.163607802200077         0.5231045636703513         -0.4955750232084388        0.5273024715605448       
Zeropoint     AB|SDSS|SDSS_z            7305.44998585151      All      0.1061782280355271         0.002528324779405011       0.06975011165053502        -0.03064955633876182     
Check         All|All|All               All                   All      0.9976336194289882         0.9984866494749056         0.00035261948376774654     0.0002935957378480958    
Lambda        AB|SDSS|SDSS_i            6144.627580931621     All      -0.0003060546837517016     -3.63726085166107e-05      -0.00042403944893601816    6.892139111754279e-05    
Lambda        AB|SDSS|SDSS_r            5067.003677430254     All      -0.00010841359294693143    -9.661077928544866e-05     -0.0015434391499063247     -6.5032035790125e-05     
Lambda        AB|SDSS|SDSS_g            3877.7068799723093    All      -0.001393169667425343      0.0004064425028231612      -0.0020272980425601987     0.0004957238887354257    
Lambda        AB|SDSS|SDSS_z            7305.44998585151      All      -2.4432993567021638e-05    -3.0589932404715525e-06    -5.222376558766608e-05     4.631708286983658e-06    
MWEBV         All|All|All               All                   All      -0.5578873653554952        -3.149959491286225         0.10986077897001678        -0.8394205860624878      
Redshift      All|All|All               All                   All      6.604386027254646          1.1792234993533768         4.709831228334582          -1.5569757816349943      
