#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6144.627580931621     All      1.1698664798638256         0.01936778369504566       -0.36262801710223985       -0.39093769853804133       
Zeropoint     AB|SDSS|SDSS_r            5067.003677430254     All      0.8634184472922006         0.46185290240181587       0.8146953118981212         -0.09444699907503001       
Zeropoint     AB|SDSS|SDSS_g            3877.7068799723093    All      -1.1100141061759243        0.5167835250116326        -0.4809217071113888        0.5084401815352758         
Zeropoint     AB|SDSS|SDSS_z            7305.44998585151      All      0.07421154781845855        0.0006490266498460073     0.029434839466791797       -0.02264819158360328       
Check         All|All|All               All                   All      0.9974823687985604         0.9986532377583401        0.0005804271512842921      0.0004072923386011888      
Lambda        AB|SDSS|SDSS_i            6144.627580931621     All      -0.0002172932435334512     -3.269362241380964e-05    -0.00038286297378691475    4.304475365173754e-05      
Lambda        AB|SDSS|SDSS_r            5067.003677430254     All      -7.174714900012646e-05     -6.570433618284691e-05    -0.0013066576750989998     -5.6341787840808937e-05    
Lambda        AB|SDSS|SDSS_g            3877.7068799723093    All      -0.001371729297687594      0.0004654895183124782     -0.0017377038014428916     0.0005208968714014319      
Lambda        AB|SDSS|SDSS_z            7305.44998585151      All      -1.8829760621146026e-05    -3.682828760757265e-07    -1.0857585617107258e-05    5.5289864871422165e-06     
MWEBV         All|All|All               All                   All      -0.557863228600123         -3.1518486579841465       0.09140005947208792        -0.8408676290672142        
Redshift      All|All|All               All                   All      6.407336485144758          0.9969807103500372        3.7865524913404114         -1.5933544245866726        
