#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7880.25838078644     All      0.22983464830283099        -0.029637348790423346      0.4931821960185434         -0.06251010952401104      
Zeropoint     AB|PS|PS_g                4457.854589650476    All      -0.9107930471819037        0.9572528010140857         1.7816987400991136         0.6879930213646801        
Zeropoint     AB|PS|PS_r                5661.172703310361    All      0.3370877913292588         0.16866528437908812        -4.884900643935519         -0.2728514316512498       
Zeropoint     AB|PS|PS_i                6856.90622181742     All      1.3417285634072775         -0.10151046616897474       2.5878549049399955         -0.35462635426692923      
Check         All|All|All               All                  All      0.9978579558574636         0.9947702704337757         -0.02216480287786693       -0.0019948740775099782    
Lambda        AB|PS|PS_z                7880.25838078644     All      -0.00018472338526686756    3.758230611104925e-05      -0.00018463537184122843    6.417284867611352e-05     
Lambda        AB|PS|PS_g                4457.854589650476    All      -0.0001913917405120717     -0.00010500693956177917    -0.0015151022568519168     -3.947368346528341e-05    
Lambda        AB|PS|PS_r                5661.172703310361    All      -0.00011047446544283605    -0.00010345003535535084    0.0001072189962716456      7.0727793409448384e-06    
Lambda        AB|PS|PS_i                6856.90622181742     All      -0.00108767356054205       8.764952986003295e-05      -0.002585789090289234      0.00026744950652523057    
MWEBV         All|All|All               All                  All      -0.6344444958358824        -3.685140870035397         0.14828373958860608        -0.9870949517510996       
Redshift      All|All|All               All                  All      5.432537297496721          1.340717921495127          11.32475933056562          -0.827468191437819        
