#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7880.25838078644     All      0.24343739634105677        -0.038141969750249416     0.5411828529610547        -0.06756915805721228      
Zeropoint     AB|PS|PS_g                4457.854589650476    All      -0.8070038185845785        0.9500032761767585        2.197668365925337         0.6703868602257682        
Zeropoint     AB|PS|PS_r                5661.172703310361    All      0.1665644832025679         0.18983127589766724       -5.994612445075727        -0.25993326132907996      
Zeropoint     AB|PS|PS_i                6856.90622181742     All      1.398532973594706          -0.1081936407292261       3.2639430823092064        -0.34513563910344325      
Check         All|All|All               All                  All      1.0015310345537523         0.9934989415949502        0.008181856119870545      -0.0022511982639673023    
Lambda        AB|PS|PS_z                7880.25838078644     All      -0.0001813160998516055     4.517038686662859e-05     -7.17557061161877e-05     7.057197230629198e-05     
Lambda        AB|PS|PS_g                4457.854589650476    All      -0.00023820238509516086    4.70602801386307e-05      -0.0008199866237707117    5.632719797303063e-05     
Lambda        AB|PS|PS_r                5661.172703310361    All      -8.860651918240514e-05     -6.711420091875247e-05    -0.0003563145863864465    -8.899928361983878e-06    
Lambda        AB|PS|PS_i                6856.90622181742     All      -0.0011291857354250776     5.5683625824374137e-05    -0.003199759352194541     0.0002431603680777849     
MWEBV         All|All|All               All                  All      -0.6247234377919879        -3.688171696901499        0.19424167448470478       -0.9891977686335852       
Redshift      All|All|All               All                  All      6.00114544263648           0.7473300861114751        14.061715064510041        -1.083830746803625        
