#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5400.413201687402     All      0.1852665719733234        0.0875898061936553        -1.7148481403159443       -0.10834233257425163      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3662.372727113255     All      -0.44851480596869175      0.4313082516398836        0.657190958585252         0.31591472929470843       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4375.6396831133825    All      -0.40056214874658197      0.3937046113287934        -0.2658818107233396       0.24685373029520452       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6381.232082032454     All      1.1632352729267443        0.07403680559674441       0.6358393322240197        -0.3264131852818597       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8255.516002153501     All      0.4158874533143148        0.06640933267174631       0.797849092957531         -0.07823218075159177      
Check         All|All|All                                All                   All      0.9153123434991088        1.053048807430823         0.11014943272751876       0.04978076098220985       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5400.413201687402     All      0.00028646588370015745    0.00010019889360324643    -0.001149446801214676     -0.0001119678181965217    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3662.372727113255     All      -0.0012033591829828801    0.0009059643748441149     0.0005126494512024146     0.0007099532679614742     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4375.6396831133825    All      -0.0006086422767682516    0.0001924524060208775     -0.0021376080508135396    0.00016555126378751603    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6381.232082032454     All      0.000118212683519952      1.0203544166025471e-05    4.8373997341779624e-05    -3.302342075508232e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8255.516002153501     All      -1.816031623574102e-05    1.637984510664632e-05     6.726567498811988e-05     1.425262502142012e-05     
MWEBV         All|All|All                                All                   All      -1.0293683206757116       -3.9052681689614843       0.4778111201360957        -0.9154526790967843       
Redshift      All|All|All                                All                   All      5.53398171550473          -4.042439184951263        1.0435513356272519        -3.0727864389169577       
