#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     AB|DECam|DECam_i          6839.8280192064      All      0.047274298707583706       -0.024122672035353787      -0.4062757885754009      -0.04138656474845845      
Zeropoint     AB|DECam|DECam_g          4236.081384114519    All      -0.9185532543447811        0.8305446348149559         -0.0977893157599059      0.5653748380783811        
Zeropoint     AB|DECam|DECam_r          5630.0668543726      All      1.0293836414322963         0.21956825353299791        0.2052941790580468       -0.2546221776444124       
Zeropoint     AB|DECam|DECam_z          8015.272474796104    All      0.8405428343847468         -0.027113367872289018      0.29973619695011405      -0.26924832028497403      
Check         All|All|All               All                  All      0.9986475201798459         0.998876848440311          0.00096527167285404      0.00011777540053614644    
Lambda        AB|DECam|DECam_i          6839.8280192064      All      -8.891703992482389e-06     4.511805626884782e-06      7.581267423328163e-05    7.749135501409367e-06     
Lambda        AB|DECam|DECam_g          4236.081384114519    All      -0.0005203137515416679     0.0003142937259849176      -0.000764663801553377    0.00023773567971132665    
Lambda        AB|DECam|DECam_r          5630.0668543726      All      -0.00016073880019113553    -4.0891811582491795e-05    -0.00043114188824773     1.9798224729219777e-05    
Lambda        AB|DECam|DECam_z          8015.272474796104    All      0.00023458309148698646     3.607246299474305e-05      0.0007498441509322047    -3.119934195913073e-05    
MWEBV         All|All|All               All                  All      -0.44812628001559673       -3.482980266471536         0.08380765043375676      -0.9848118365949559       
Redshift      All|All|All               All                  All      -1.7679330720049287        0.4892704720395713         -7.055544192993257       0.420388921695252         
