#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6131.384918632607     All      0.6709073711860754         -0.02722932067413808      0.298487313719209          -0.21408597064517323       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5273.246417125307     All      0.014420001939362437       0.21519895303132586       -0.5047268456067289        0.042876668809068916       
Zeropoint     AB|PS|PS_z                            8534.785975108825     All      0.2367907128082008         -0.05561795210313747      0.14958142351142456        -0.08857199019227137       
Zeropoint     AB|PS|PS_g                            4828.120220472562     All      -0.49076751746965097       0.6637008018825163        0.13422923390559172        0.38203834670919656        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8120.91805764339      All      0.15370059270751002        -0.029076553861884236     0.10022409691593515        -0.0550639886944336        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.617094001658     All      -0.030797742154515865      0.030692864873049786      -0.30965513102566566       0.006211027386661058       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6284.6488643413995    All      0.5069337396053819         -0.0470864803425286       -0.6244011808488881        -0.20832676929127303       
Zeropoint     AB|PS|PS_i                            7426.435051583083     All      0.2986708664537854         -0.055739159760381796     0.34322713148241535        -0.10012635478862421       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4272.218869168045     All      -0.3925073592226738        0.30706656726664505       0.30034711057175256        0.24127735525656321        
Check         All|All|All                           All                   All      0.9673506658534752         1.0019097203114669        -0.11268684737495427       0.006228324549714309       
Lambda        AB|PS|PS_r                            6131.384918632607     All      -0.00012706293015650772    1.3661955808180826e-05    -0.00016451449648916872    3.849719867937213e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5273.246417125307     All      -0.00013023972506468915    7.000260482681884e-05     -0.0009570076280703733     2.251865955891428e-05      
Lambda        AB|PS|PS_z                            8534.785975108825     All      0.00026470916860933495     -6.525017339362905e-05    0.0001587357033251695      -0.00010039496763759473    
Lambda        AB|PS|PS_g                            4828.120220472562     All      -0.0002000791145454554     -7.314872956026247e-05    -0.0012654742694873451     -1.5126902258818684e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8120.91805764339      All      -1.8850481462863258e-05    1.4243552840935413e-06    -2.491115385464004e-05     5.492510967058995e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.617094001658     All      -2.6643708529546375e-06    1.0919290488516313e-06    -1.750045281034543e-05     4.4258562436121985e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6284.6488643413995    All      -0.00014700490554961961    5.486163508125455e-06     -0.00015940546870085108    4.2557824053983226e-05     
Lambda        AB|PS|PS_i                            7426.435051583083     All      -2.2611732266132646e-05    -8.063633762268128e-07    -0.0001806802938745388     -9.60205658275565e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4272.218869168045     All      -0.00015553263795078446    0.0001051891173377455     -8.799667001964559e-05     8.099876595955652e-05      
MWEBV         All|All|All                           All                   All      -0.7354567951833033        -4.080295846060711        0.1336262058241222         -1.0835609969640076        
Redshift      All|All|All                           All                   All      5.420738655998646          0.4353122931531672        7.665245526248265          -1.2818526793972205        
