#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                            6131.384918632607     All      0.666545784287967          -0.039181589026515695     0.34453397305456473        -0.2145036543993509       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5273.246417125307     All      0.024091183656412912       0.2443916668773305        -0.3268572049723564        0.0571729791986009        
Zeropoint     AB|PS|PS_z                            8534.785975108825     All      0.2477783326622691         -0.06136072996802966      0.14360834457160523        -0.09428818222279767      
Zeropoint     AB|PS|PS_g                            4828.120220472562     All      -0.5155258821265891        0.6043926132091926        -0.01256503033027727       0.3642335785604345        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8120.91805764339      All      0.17426054911392355        -0.03589821087537359      0.13877919129595767        -0.06226254422858337      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.617094001658     All      -0.053243659585876756      0.04833380002775556       -0.47788836444521404       0.011761157551999343      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6284.6488643413995    All      0.5774725359151958         -0.05617517285836371      -0.4800394316168247        -0.2278218602296627       
Zeropoint     AB|PS|PS_i                            7426.435051583083     All      0.3143482239693344         -0.05984014918638536      0.34688112533049026        -0.10640575211252203      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4272.218869168045     All      -0.43884603484978646       0.35208595664020237       0.32594494867031865        0.27217799656606595       
Check         All|All|All                           All                   All      0.9968810330428503         0.996748184839813         0.0023975515582640994      6.371868418403315e-05     
Lambda        AB|PS|PS_r                            6131.384918632607     All      -0.00012428137507497202    7.326337652349295e-06     -0.0001439331094690451     3.6445888185687996e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5273.246417125307     All      -6.881221456063501e-05     6.461409531691738e-05     -0.0007007534996190992     1.21899284787413e-05      
Lambda        AB|PS|PS_z                            8534.785975108825     All      0.00023680304466469518     -6.198136324028337e-05    5.3114473395759496e-05     -9.495365636799984e-05    
Lambda        AB|PS|PS_g                            4828.120220472562     All      -0.00021657302531983923    -5.785251940049804e-05    -0.0012813388978799754     -5.479779508213502e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8120.91805764339      All      -1.6160210358014564e-05    2.338128352412897e-06     -1.2432323752156767e-05    5.470719985792177e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.617094001658     All      -2.948053753166749e-07     3.083403544648666e-07     -2.6102440521167713e-06    7.998120346630092e-08     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6284.6488643413995    All      -0.00019653770555644077    2.883526646325083e-06     -0.00032201193936579455    5.05881421855544e-05      
Lambda        AB|PS|PS_i                            7426.435051583083     All      -3.880154857862219e-05     1.2770715927174505e-07    -0.00023971994186785495    1.9829393166116616e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4272.218869168045     All      -0.0001640178674395534     0.00010529553246567606    -8.627866831629067e-05     8.387401379345201e-05     
MWEBV         All|All|All                           All                   All      -0.7474974228163727        -4.077370341707454        0.13166257466236544        -1.078773663245061        
Redshift      All|All|All                           All                   All      5.385430033291165          0.28388711566229574       5.77042258140126           -1.4042329068328652       
