#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3623.1650652177036    All      -1.0893121071531149       0.3134799326039328         -0.7634098899060492        0.42286804066446876        
Zeropoint     AB|SDSS|SDSS_z            6825.903038504388     All      0.16434514197413916       0.018245624961110707       0.2393586106062469         -0.0369079437654634        
Zeropoint     AB|SDSS|SDSS_r            4734.393619129362     All      0.7108367159262999        0.5787037623949942         1.7428667184847844         0.03473608693847222        
Zeropoint     AB|SDSS|SDSS_i            5741.279750924236     All      1.211342092434074         0.08903732604572667        -1.2108121840503416        -0.4196045718577343        
Check         All|All|All               All                   All      0.9972118431813982        0.9994666460057644         0.008003255134640508       0.0010916119797432788      
Lambda        AB|SDSS|SDSS_g            3623.1650652177036    All      -0.0023188194488233103    0.0004834704589865933      -0.0029113889521510355     0.0007828760981645642      
Lambda        AB|SDSS|SDSS_z            6825.903038504388     All      -9.591911031387436e-05    -1.1074160902704495e-05    -0.00016392512810264607    2.03215657528037e-05       
Lambda        AB|SDSS|SDSS_r            4734.393619129362     All      -7.769412979479628e-05    -5.35535850887328e-05      -0.0006897085271013189     -2.2915154236748275e-05    
Lambda        AB|SDSS|SDSS_i            5741.279750924236     All      -0.0003182451412194368    3.868624342581419e-06      0.0005282862523240175      0.00012849803978189206     
MWEBV         All|All|All               All                   All      -0.5387696666378576       -2.8433171189412576        0.055647448441686086       -0.7481836325299313        
Redshift      All|All|All               All                   All      7.275968003502378         -0.6591424084351871        -2.946183138239699         -2.716201140676353         
