#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3623.1650652177036    All      -1.1385148377470629        0.23474203738373944        -1.4343000549012885       0.38330871909098563       
Zeropoint     AB|SDSS|SDSS_z            6825.903038504388     All      0.07527420356204226        0.013705452867895929       0.11349079518967464       -0.014990394707870003     
Zeropoint     AB|SDSS|SDSS_r            4734.393619129362     All      0.9266357734371203         0.6035453714698491         1.95455375303335          -0.018018416222052858     
Zeropoint     AB|SDSS|SDSS_i            5741.279750924236     All      1.134119756663042          0.1474328556142268         -0.623972023924646        -0.3492413903343622       
Check         All|All|All               All                   All      0.9975148959151419         0.9994257173357113         0.0097724693970902        0.001058517826700578      
Lambda        AB|SDSS|SDSS_g            3623.1650652177036    All      -0.0020122415274875195     0.0003033344492888448      -0.0032791358084318686    0.0006079265052186314     
Lambda        AB|SDSS|SDSS_z            6825.903038504388     All      -0.0001143887515271478     -1.9231354397501125e-05    -0.0002304610106674226    2.0711478393553675e-05    
Lambda        AB|SDSS|SDSS_r            4734.393619129362     All      -0.00017129621913057012    -8.305385131676637e-05     -0.0005002058559147748    6.421552297550367e-06     
Lambda        AB|SDSS|SDSS_i            5741.279750924236     All      -0.00035361854187332387    -1.5080953779606716e-05    0.0005393724419759902     0.0001343425448353185     
MWEBV         All|All|All               All                   All      -0.5681933628977274        -2.8263324309513393        0.14007394977501586       -0.7292993279916726       
Redshift      All|All|All               All                   All      6.653328913109918          -0.033242877704253715      -4.080455426834216        -2.3601283987916806       
