#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4316.156615614261     All      -0.4631667146571168        0.337708480197918          0.02480202004914259        0.2619781992188167         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7495.46049816412      All      0.2620160249459068         -0.0627123943365504        -0.02055839849934225       -0.10669215631168309       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6311.6777774899365    All      0.5801883479651311         -0.03126677427438551       0.2686524015341598         -0.18718232678480023       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7804.31059776317      All      0.19079095029367815        -0.033150957350258636      0.11119912352482474        -0.06798294062574456       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5339.062368374729     All      0.19670918639956678        0.22361468618399272        -0.2304847415424945        -0.0015214689924742022     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6152.277706525965     All      0.6533819712350923         -0.07522495454832523       -0.23823571642625765       -0.2479626120305586        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5319.973521651771     All      0.1890600984057287         0.22214109637772594        0.18091725217930613        0.018849075413863898       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4317.2054419698125    All      -0.612381015219505         0.4157119154201361         -0.09600500392193427       0.3305994283720965         
Check         All|All|All                                All                   All      0.9965988493684822         0.996821097670253          0.00028693689740462436     8.51982595163614e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4316.156615614261     All      -0.00014994128497992917    6.660046832061717e-05      -0.00020776863464950083    6.126301314448363e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7495.46049816412      All      -8.753822353009399e-05     -1.3283210452306922e-06    -0.00019203044172650023    1.9511964810531845e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6311.6777774899365    All      -0.0001592841994720373     7.675154812398188e-06      -0.00011348685796384528    4.931975724540348e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7804.31059776317      All      -1.8517719867739714e-05    3.2191701205563897e-06     -7.089110591390311e-06     6.764065745040923e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5339.062368374729     All      -2.1017794657146854e-05    -4.0385820080481884e-07    -0.0009053719369032636     -3.3687954038894175e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6152.277706525965     All      -0.0001583952417131149     -5.472981602034079e-06     -0.0002457478426408975     3.884521357305467e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5319.973521651771     All      4.087187171045314e-05      3.949954504408429e-05      -7.086575225384624e-05     -3.6094249919041634e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4317.2054419698125    All      -0.000257652346234986      0.00010954168189300349     -0.0003783296963842479     0.00010272405854180701     
MWEBV         All|All|All                                All                   All      -0.8459757354365074        -4.0150142348913676        0.019872621257263787       -1.0313732737272363        
Redshift      All|All|All                                All                   All      4.911620314613632          -0.19070606884223906       0.2947093658259653         -1.6488440391979524        
