#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3702.322433561499    All      -0.7815184124707324        -0.2648333124097846       -0.9248511511860942       0.12702947633500095       
Zeropoint     AB|PS|PS_r                4701.698155070443    All      0.49357635843102887        1.8121372210432085        3.168451910901622         0.5708921089269388        
Zeropoint     AB|PS|PS_i                5694.77474406641     All      -0.2688957913579244        -0.1488461645195116       -4.044216802009512        -0.14137070848107178      
Zeropoint     AB|PS|PS_z                6544.68574483812     All      1.5525956241215804         -0.38707500999723976      1.7991045447750122        -0.5515287659559099       
Check         All|All|All               All                  All      0.9957577787239525         1.0113827341166726        -0.0015114975189718383    0.005022110824957959      
Lambda        AB|PS|PS_g                3702.322433561499    All      -0.0017044068192444192     -0.0005987922651827346    -0.002081165314610217     0.0002672621843518192     
Lambda        AB|PS|PS_r                4701.698155070443    All      -2.0850452285626694e-05    0.0006693215331166175     2.5632416462850162e-05    0.00022595557865070186    
Lambda        AB|PS|PS_i                5694.77474406641     All      8.355477098793161e-06      2.682836482196514e-07     0.0002470116966889094     8.388732571924131e-06     
Lambda        AB|PS|PS_z                6544.68574483812     All      -0.0005974953016265374     0.00026829048620334453    -0.001172705028246293     0.0002296824752313159     
MWEBV         All|All|All               All                  All      -0.44746483699252426       -2.846471938406303        -0.049345788595974674     -0.7836376138278266       
Redshift      All|All|All               All                  All      2.918519936709626          -1.1047916157824744       -3.194585881363144        -1.4530846313481602       
