#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5111.897163059941     All      0.5087790691457775         0.295488637125807          -0.9151676724429066       -0.11031544076372926      
Zeropoint     AB|SDSS|SDSS_g            3912.0632351625745    All      -0.9460384277529728        0.6046877831037634         0.23335382634957136       0.5155360537676311        
Zeropoint     AB|SDSS|SDSS_z            7370.176032019401     All      0.11050884947764575        0.0070720124542233975      0.15538038290080167       -0.026758867936811898     
Zeropoint     AB|SDSS|SDSS_i            6199.068778839776     All      1.3241519769102694         0.09159765499919814        0.5285226035621864        -0.37789795609871396      
Check         All|All|All               All                   All      0.9974014677807199         0.9988460876829919         0.0020891403696527977     0.000563788968376         
Lambda        AB|SDSS|SDSS_r            5111.897163059941     All      -0.00014742354672907384    -3.402768540627622e-05     -0.00217969949529443      -6.033321483144603e-05    
Lambda        AB|SDSS|SDSS_g            3912.0632351625745    All      -0.000984130410969697      0.0004960838480484451      -0.0005766307580291523    0.00045642209940330563    
Lambda        AB|SDSS|SDSS_z            7370.176032019401     All      -1.6739655512658257e-05    -1.2544426081859222e-06    -2.654098257221813e-05    3.859641137484838e-06     
Lambda        AB|SDSS|SDSS_i            6199.068778839776     All      -0.00023806972114243352    -4.5465731277023405e-05    -0.0006806983027022303    3.236101706684188e-05     
MWEBV         All|All|All               All                   All      -0.5724645356877405        -3.1949079131473823        0.05430893577158903       -0.8517925254915096       
Redshift      All|All|All               All                   All      5.963387785150274          0.6378078853400027         4.536463555295072         -1.5322750464934354       
