#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5111.897163059941     All      0.37243016570327103       0.27322683553503424        -0.9374911871174452       -0.07414971426818462      
Zeropoint     AB|SDSS|SDSS_g            3912.0632351625745    All      -0.9270920742493461       0.6485967723095953         0.4505011293005401        0.5333574922713732        
Zeropoint     AB|SDSS|SDSS_z            7370.176032019401     All      0.08172724283884222       0.002818430438189523       0.09964425211028138       -0.021256530899525783     
Zeropoint     AB|SDSS|SDSS_i            6199.068778839776     All      1.4703774919866863        0.07466826269233451        0.39107080562214014       -0.4371767195192569       
Check         All|All|All               All                   All      0.9974428262794532        0.9993103009751536         0.003724999915516447      0.0007745275844058819     
Lambda        AB|SDSS|SDSS_r            5111.897163059941     All      -6.165639282874246e-05    -1.5626203960774762e-05    -0.002405898838369374     -9.237066840020736e-05    
Lambda        AB|SDSS|SDSS_g            3912.0632351625745    All      -0.0011071988830708673    0.0006553164022491207      -9.832968048748574e-05    0.0005697212114310106     
Lambda        AB|SDSS|SDSS_z            7370.176032019401     All      -1.726225899899153e-05    -2.0401377501769826e-06    -2.674451675074661e-05    3.764860734189662e-06     
Lambda        AB|SDSS|SDSS_i            6199.068778839776     All      -0.0002398775463934126    -5.3746334090150615e-05    -0.0011622386560012298    8.763686133906677e-06     
MWEBV         All|All|All               All                   All      -0.5588312111380369       -3.2023859126267595        0.03365845468465967       -0.8595907143963923       
Redshift      All|All|All               All                   All      5.566896843949423         0.04586872550245147        3.1921753065148994        -1.6559283718092608       
