#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6058.37665732055     All      1.2415660571946467         0.07953365257238332       -0.21018589064867865      -0.3878918148668184        
Zeropoint     AB|PS|PS_z                8433.159687902544    All      0.29951111044753137        -0.10728165469311435      0.02755185212183764       -0.13127627407164624       
Zeropoint     AB|PS|PS_g                4770.630327507092    All      -1.1621904377631445        1.2196312031256262        0.05339064035780883       0.7782202471067722         
Zeropoint     AB|PS|PS_i                7338.006235245792    All      0.6191814971249314         -0.1935575879373097       0.1458887290678612        -0.2582255143908613        
Check         All|All|All               All                  All      0.9980682270039651         0.9983256130675855        0.016645330898829025      0.0008266437774462343      
Lambda        AB|PS|PS_r                6058.37665732055     All      -0.0002927460977207463     -7.117279127214092e-06    -0.0009122429499835072    5.2329490047489174e-05     
Lambda        AB|PS|PS_z                8433.159687902544    All      0.00031369493349692364     -6.217046588328496e-05    -0.0001731578051134295    -0.00013015896373965748    
Lambda        AB|PS|PS_g                4770.630327507092    All      -0.0004980838526055691     -6.899039273002245e-05    -0.0009233225441327639    9.85662121594e-05          
Lambda        AB|PS|PS_i                7338.006235245792    All      -0.00016481750527762626    5.399959639737212e-05     -0.0013174720625853313    1.2483201661500974e-05     
MWEBV         All|All|All               All                  All      -0.711803110630441         -4.051410950786671        0.029309046485381796      -1.086512215240304         
Redshift      All|All|All               All                  All      7.643951885227537          0.49905398643028676       12.5091166612792          -1.7691038814990228        
