#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6163.325249895781    All      1.2143537820668047        -0.23976416957456337      -1.270292659520167         -0.5303413830604661       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7508.919972667745    All      0.5607104765883759        -0.14609588868266243      0.8486100253463968         -0.19236051850116676      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5348.649634405682    All      0.263619101224865         0.720850628332137         0.7008945230191799         0.1802130543195113        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.957776411084    All      -1.0427683381457369       0.6655276831101453        -0.286875153581434         0.5436462948583798        
Check         All|All|All                                All                  All      0.9959150217343085        1.0005182531850565        -0.007663264736024189      0.0011574476162582448     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6163.325249895781    All      -0.0002898922916436033    3.230201477836762e-05     -0.00031008453096164663    9.111163702938936e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7508.919972667745    All      -0.0001963398228988096    5.8042675430418136e-05    -0.00039986125778208767    6.501677720295822e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5348.649634405682    All      6.173847029833378e-05     0.00010731448455383206    -0.0010712778000620444     -3.29606007664501e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.957776411084    All      -0.0006820105544207277    0.0002722359716125371     -0.0012347952593668445     0.00025572624609120754    
MWEBV         All|All|All                                All                  All      -0.8481279649816633       -4.0221216217909195       0.18259101013333723        -1.0257259571403874       
Redshift      All|All|All                                All                  All      6.647706357736679         -1.7460137028141531       4.796822318790395          -2.5200506198294947       
