#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6163.325249895781    All      1.2014895256096016         -0.19599306361852697      -1.1593778371102295        -0.5069437631635929      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7508.919972667745    All      0.5069377498410788         -0.13141161802669998      0.6235583054428836         -0.18010484691273737     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5348.649634405682    All      0.3849052641597441         0.6345148333941175        0.8963726352105177         0.1213070424293858       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.957776411084    All      -1.0963537242081625        0.6915147218636619        -0.35978468986090134       0.566312033733186        
Check         All|All|All                                All                  All      0.9969788154022619         0.9986248736125525        0.0007684136822704857      0.0005704660862415611    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6163.325249895781    All      -0.00027127321961769815    1.8993605286363965e-05    -0.00025455324008808047    8.318991238175736e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7508.919972667745    All      -0.00016865956446708227    4.9575184699717515e-05    -0.00026154382832031434    5.941473768303476e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5348.649634405682    All      8.032112816720754e-05      2.9165896730273254e-05    -0.0013254644328225395     -7.58123318350561e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.957776411084    All      -0.0007354582446170703     0.00028359402476101813    -0.0016216825557760445     0.0002595706056145832    
MWEBV         All|All|All                                All                  All      -0.8562123328704998        -4.026076655528765        0.13598179970276372        -1.026460852149507       
Redshift      All|All|All                                All                  All      7.14621510064966           -1.2106997451030388       9.02793637141452           -2.319246763149482       
