#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4592.623063605155    All      -0.6023619706794814        0.47974608690317666       0.4536759035440485        0.3727236665694439        
Zeropoint     AB|PS|PS_r                5832.319516351396    All      -0.029925195689997963      1.5316088365368685        -1.5027426405865296       0.4415825050379518        
Zeropoint     AB|PS|PS_i                7064.202078822289    All      1.4047021704541116         -0.837484130666688        0.9286974672071735        -0.6889103414050218       
Zeropoint     AB|PS|PS_z                8118.491902088989    All      0.2096858563061455         -0.16197470724428342      0.07461306847378335       -0.11773243425717284      
Check         All|All|All               All                  All      0.9821008603907777         1.0118960855290737        -0.04575620136152425      0.007663395945201046      
Lambda        AB|PS|PS_g                4592.623063605155    All      -0.00019501421193350474    0.00014656549428761814    0.00011244947762865574    0.00011628185167955985    
Lambda        AB|PS|PS_r                5832.319516351396    All      -0.00027506201795205213    0.00021355209479318664    -0.0010966917263793444    0.00011021737662256306    
Lambda        AB|PS|PS_i                7064.202078822289    All      -0.0007950154080952116     0.0005204518945830722     -0.000785873459578556     0.0003934210549563589     
Lambda        AB|PS|PS_z                8118.491902088989    All      -9.036874595289994e-06     -2.400107217379435e-05    1.710728013448518e-05     -4.110912117289865e-06    
MWEBV         All|All|All               All                  All      -0.593000604242365         -3.9489015178482134       0.11050703301490605       -1.08819591207909         
Redshift      All|All|All               All                  All      7.117556879325319          -3.0951315923948286       14.48547746624863         -2.6801882927830896       
