#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4592.623063605155    All      -0.8967630608492225       0.785090134081301         0.47605912596935673       0.5690792492470116        
Zeropoint     AB|PS|PS_r                5832.319516351396    All      0.40969575463152513       0.9243339049676891        -1.683376093835386        0.09251323305560784       
Zeropoint     AB|PS|PS_i                7064.202078822289    All      1.1932266317129536        -0.5092077633124248       0.9268214646629658        -0.5131791056568574       
Zeropoint     AB|PS|PS_z                8118.491902088989    All      0.26883214737160327       -0.17720247578774107      0.19709672817115673       -0.13649262912048726      
Check         All|All|All               All                  All      0.9749914728668594        1.0230137999488242        -0.08339877503190665      0.011920747525274777      
Lambda        AB|PS|PS_g                4592.623063605155    All      -0.0001906222458753789    0.00015567728952876024    -6.808770269608508e-06    0.00011249730745185758    
Lambda        AB|PS|PS_r                5832.319516351396    All      -0.0002687604036126269    1.0969090714007269e-05    -0.001675176185108022     1.636167979375737e-05     
Lambda        AB|PS|PS_i                7064.202078822289    All      -0.0008222495524908462    0.00043491280881148163    -0.0011130701755334147    0.00035982793070171015    
Lambda        AB|PS|PS_z                8118.491902088989    All      -1.163430612183332e-05    1.835438867846881e-05     5.007816934510254e-05     1.200306319237172e-05     
MWEBV         All|All|All               All                  All      -0.6322553031942171       -3.903150092402896        0.13481567627171478       -1.059421837641516        
Redshift      All|All|All               All                  All      8.604637523872452         -2.537710769890733        23.18012802996886         -2.5950067601490066       
