#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      3804.3133585722094    All      -1.2156946524020324       0.25131737624644046        -0.049133485059517056      0.47566147921671637      
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP     4306.394446586379     All      0.6731458377186259        0.23488867150334158        1.858858435878484          -0.059802462703560925    
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    3805.9887793613657    All      -0.11282984460925277      0.20721210408165547        -1.4186155638560716        0.0409418946067187       
Zeropoint     VEGAHST|ISAAC|ISAAC_Js             5891.631490203737     All      1.6519711898231688        0.3029517451926367         -0.4443257434816764        -0.4592482317548931      
Check         All|All|All                        All                   All      0.9965925305305094        0.9963698970240742         -0.05321635651878098       -0.002447320635018957    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      3804.3133585722094    All      -0.0018855127384755004    0.00019206982235639764     -0.002251103829984186      0.0005762805655127246    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP     4306.394446586379     All      -7.267742212007453e-05    -2.5181943227095687e-05    -0.00019675388289695745    6.690617894493702e-06    
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    3805.9887793613657    All      -6.53207360297833e-05     0.00011948806096849019     -0.0009053845279327834     1.979515201025477e-05    
Lambda        VEGAHST|ISAAC|ISAAC_Js             5891.631490203737     All      -0.000521241948050258     -9.546126316400429e-05     0.0001434319903590433      0.0001450914878063331    
MWEBV         All|All|All                        All                   All      -0.07354061937565293      -1.359785341025166         0.015699444032775067       -0.4182716279534277      
Redshift      All|All|All                        All                   All      3.918019721950248         0.09685247548283371        2.1441031515457216         -1.148998408698909       
