#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      3804.3133585722094    All      -1.2352505995777898        0.24257154439748518       -1.4859883883971303        0.41506245432080396       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP     4306.394446586379     All      0.7007208416955071         0.2751147964167089        1.6171777666511233         -0.0664666746734835       
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    3805.9887793613657    All      -0.06103720979882182       0.19559378891873536       0.05438561019688315        0.08602013919040072       
Zeropoint     VEGAHST|ISAAC|ISAAC_Js             5891.631490203737     All      1.592296227500119          0.282367812807216         -0.22696715716792326       -0.43681528183221774      
Check         All|All|All                        All                   All      0.9967292598190143         0.9956479425401454        -0.041392168717047095      -0.002199362994496523     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      3804.3133585722094    All      -0.0016867238639494224     0.0002782124956216674     -0.003278333231241616      0.0004937474615280093     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP     4306.394446586379     All      -0.0001501311449156807     -4.285183575024372e-05    -0.00016736255670890754    2.7475778142122688e-05    
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    3805.9887793613657    All      -0.00015632824332523272    9.518944587918164e-05     -0.00028828000350860126    6.906297352564691e-05     
Lambda        VEGAHST|ISAAC|ISAAC_Js             5891.631490203737     All      -0.000417521312206762      -7.603033528047976e-05    -3.1226737633724184e-05    0.00010984134002295179    
MWEBV         All|All|All                        All                   All      -0.07219529031876148       -1.3608082703120417       0.028972784819225605       -0.41845071937232775      
Redshift      All|All|All                        All                   All      3.898022981616844          -0.0156490244721752       2.7365216459708686         -1.1526933356973974       
