#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6691.536677493298    All      2.8662375518783243        -1.4549581304429182       -0.3289099598559164        -1.422233337726874         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5587.917455046594    All      -1.8697187869390248       2.460501338294563         0.3313406509439787         1.425281366258278          
Check         All|All|All                            All                  All      0.9965187649392995        1.0055432078516446        0.0024306910880622645      0.0030480285314038458      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6691.536677493298    All      -0.0009061745077375693    0.0005741090580370046     0.0010367800852258404      0.0005284437907004932      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5587.917455046594    All      7.108058001911023e-05     -9.415254655156756e-05    -2.0581776972710788e-05    -5.4740335510077905e-05    
MWEBV         All|All|All                            All                  All      -0.5599806518355912       -3.301830596043942        0.01435003533628576        -0.8924703548427622        
Redshift      All|All|All                            All                  All      1.478291312608297         -1.0703169162434634       -15.927985482837958        -1.5409583843650037        
