#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4698.159851221052    All      -0.0996708522937283       0.0421615543432452         -0.2911926276793025        0.033204891415279825       
Zeropoint     AB|PS|PS_g                3699.536218605477    All      -0.4889074111531393       0.35855122128936046        0.5313168611504531         0.2997553884104599         
Zeropoint     AB|PS|PS_z                6539.760484644833    All      1.6147190488215544        -0.7855588847887063        1.7507805986187421         -0.7037201927034179        
Zeropoint     AB|PS|PS_i                5690.489091790622    All      -0.04766006582001614      1.3898204065881714         -1.9901752331992189        0.37942230145273437        
Check         All|All|All               All                  All      0.9784807195546705        1.0049742974320708         0.0007295988906739215      0.00866238857505619        
Lambda        AB|PS|PS_r                4698.159851221052    All      -6.971177001535597e-05    3.0063748553418767e-05     -0.00020801374845385394    2.3217470694005458e-05     
Lambda        AB|PS|PS_g                3699.536218605477    All      -0.0009618641301522415    0.0007087393079676794      0.001031854529319151       0.000590217429523337       
Lambda        AB|PS|PS_z                6539.760484644833    All      -0.0008167570601568513    0.00032226959935317405     -0.001833544330621399      0.00028919579355533994     
Lambda        AB|PS|PS_i                5690.489091790622    All      1.2925847230074944e-05    -0.00035151018675171227    -0.0005086221242753764     -0.00014140627524674717    
MWEBV         All|All|All               All                  All      -0.44917242916401623      -2.8117582411784525        0.020463315829091163       -0.7686587419367593        
Redshift      All|All|All               All                  All      2.5905221050345526        2.8881432032287435         0.9510703801695796         0.13938688608385125        
