#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4698.159851221052    All      -0.07171306435973915       0.03402569231703012       -0.33897159907796404       0.01931584612478443       
Zeropoint     AB|PS|PS_g                3699.536218605477    All      -0.5336454706037109        0.4554111720061371        0.525352792033662          0.34561236974542664       
Zeropoint     AB|PS|PS_z                6539.760484644833    All      1.6322375197998509         -0.5214378936731379       1.6141853268751283         -0.6294892585313017       
Zeropoint     AB|PS|PS_i                5690.489091790622    All      -0.04559547224817506       1.0406685527346582        -1.7910282978720993        0.2739065629232429        
Check         All|All|All               All                  All      0.9812835125882257         1.0086675233846876        0.009538221958727          0.009345520262152296      
Lambda        AB|PS|PS_r                4698.159851221052    All      -4.1686362737566974e-05    2.4116838846707805e-05    -0.00020988419522041942    1.2068099947582188e-05    
Lambda        AB|PS|PS_g                3699.536218605477    All      -0.0009284002296318725     0.0007967950876161517     0.0009977456026850655      0.000606477675835791      
Lambda        AB|PS|PS_z                6539.760484644833    All      -0.0008158905205061277     0.00014406943168016064    -0.0013596435480364767     0.0002520158912395085     
Lambda        AB|PS|PS_i                5690.489091790622    All      -2.3794907362828695e-05    -0.0005794765630188725    -0.0004161785467350424     -0.0001995759337324901    
MWEBV         All|All|All               All                  All      -0.4547656587811906        -2.8058149037370583       0.012200364801984165       -0.7652696400579792       
Redshift      All|All|All               All                  All      1.8252156649836175         2.7354188943725433        -1.41315348522153          0.23342058694253293       
