#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            7212.936064674574     All      0.4539831757738465         0.015413287002274956       0.4459151840339348         -0.12295749464460017       
Zeropoint     AB|SDSS|SDSS_u            3461.6490109176843    All      -0.2626312710607598        0.23046670878015263        0.3132502379640083         0.17459715388989627        
Zeropoint     AB|SDSS|SDSS_z            8575.57972026606      All      0.2424534320282999         -0.016845924198793938      0.11114918814660621        -0.07950225324137095       
Zeropoint     AB|SDSS|SDSS_r            5947.955849788723     All      1.0209658747253432         0.2448368363411113         -0.11568887142964425       -0.2579734246808121        
Zeropoint     AB|SDSS|SDSS_g            4551.887227402698     All      -0.45920548530352967       0.5257600938056939         -0.7496203987950543        0.28738357800465836        
Check         All|All|All               All                   All      0.9955657261632002         0.9996310017304388         0.00500533991985086        0.0015475593277714528      
Lambda        AB|SDSS|SDSS_i            7212.936064674574     All      -0.00016827485863105487    7.2458779429374895e-06     -0.00010813819904766537    5.234716720015056e-05      
Lambda        AB|SDSS|SDSS_u            3461.6490109176843    All      -0.0001871269907155347     7.388657121236384e-05      -0.0002659135612477918     7.315420326936518e-05      
Lambda        AB|SDSS|SDSS_z            8575.57972026606      All      -7.327202956542266e-06     1.0518066992179853e-06     1.3657684189892311e-05     3.3387988240311074e-06     
Lambda        AB|SDSS|SDSS_r            5947.955849788723     All      -0.00016373830309527668    -2.1148937458261895e-05    -4.846311321116792e-05     4.4283361279180715e-05     
Lambda        AB|SDSS|SDSS_g            4551.887227402698     All      -0.00017453058486563736    -6.296226183179893e-05     -0.0012754589954388496     -2.0576403694229305e-05    
MWEBV         All|All|All               All                   All      -0.9363216766185452        -3.7414151171174304        0.4414575239114996         -0.8940109966524462        
Redshift      All|All|All               All                   All      4.350392495345309          0.41581001179338273        -1.4694623778837776        -1.3471983157400664        
