#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4544.187703521886    All      -0.413445814230231         0.3276856299795128        -0.15386944427582266       0.23454440727816162        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5289.036994490885    All      0.2019828960033881         0.18375607477745248       -0.0106165663051866        -0.006410843911969436      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4220.477417822868    All      -0.41800760521172675       0.3079656597574143        0.12207240097830006        0.2419209068088496         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7269.011859680559    All      0.32280115279778154        -0.016401177416902613     0.46065014057768694        -0.08993265829170718       
Zeropoint     AB|PS|PS_i                       7251.936726324583    All      0.24707138735032735        -0.05072425220626897      -0.060423313043836704      -0.0996982519360267        
Zeropoint     AB|PS|PS_z                       8334.244820604452    All      0.13072866396474242        -0.04125414239597447      -0.13663727923387475       -0.0621179523178364        
Zeropoint     AB|PS|PS_r                       5987.316278378554    All      0.5096334739123083         -0.041594452965298956     -0.4467258084549192        -0.19948839173808833       
Zeropoint     AB|PS|PS_g                       4714.67428217683     All      -0.2888912453867572        0.3035352784992007        -0.10306429258474205       0.18837352306249128        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5990.237262071962    All      0.7052007150613785         0.023731448550989853      0.33034705579430995        -0.20723508790441963       
Check         All|All|All                      All                  All      0.9970736242612113         0.9967000665801251        0.0017328934519150185      -4.434895054519772e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4544.187703521886    All      -0.0001403371623780574     -2.613260664871596e-06    -0.0007128812361909465     1.3048590343656723e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5289.036994490885    All      6.503116838719561e-05      4.0986805436375354e-05    -0.0001582219610037524     -1.4892759481542129e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4220.477417822868    All      -0.00022448667382929816    8.386627448644701e-05     -0.00043112832081468615    8.120142291991308e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7269.011859680559    All      -7.494146811835812e-05     9.228556499220566e-06     -6.127795836010216e-05     2.468239228737612e-05      
Lambda        AB|PS|PS_i                       7251.936726324583    All      -8.13884235697372e-05      -1.185915317733065e-05    -0.0003192317880316331     8.402122290577462e-06      
Lambda        AB|PS|PS_z                       8334.244820604452    All      0.00012280791084894142     -4.621184564653897e-05    -0.0001714136145958389     -6.270469762055711e-05     
Lambda        AB|PS|PS_r                       5987.316278378554    All      -8.532103843185028e-05     -2.175705720890453e-05    -0.0003949554947233729     3.0798301126526606e-06     
Lambda        AB|PS|PS_g                       4714.67428217683     All      -3.057830836625353e-05     8.197133505736891e-06     -9.275649814011252e-05     8.491140595047232e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5990.237262071962    All      -5.160874430371681e-05     -3.701977720805447e-06    -7.514216020324656e-05     1.2251560467448398e-05     
MWEBV         All|All|All                      All                  All      -0.7652949999952909        -3.942238855606117        0.0057985543620563025      -1.0345763692714087        
Redshift      All|All|All                      All                  All      5.4808155897819955         -0.11175314070053233      4.792124522849262          -1.6078331175414264        
