#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4544.187703521886    All      -0.42511555743099005       0.30598157655150615        -0.27504422475958523       0.22586842840079252        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5289.036994490885    All      0.21661644415126846        0.1721587914720324         -0.03419131264367492       -0.016007121339224606      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4220.477417822868    All      -0.44798199978534947       0.323377363044397          0.15270315084051772        0.2580715617247223         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7269.011859680559    All      0.35273135258965604        -0.016025193595847753      0.5009642734291275         -0.0977604041451835        
Zeropoint     AB|PS|PS_i                       7251.936726324583    All      0.2533271902960247         -0.04683236366957999       -0.03812424404960324       -0.09947315159622161       
Zeropoint     AB|PS|PS_z                       8334.244820604452    All      0.14176092465881643        -0.040396541357967664      -0.1305712530185632        -0.06516147481443885       
Zeropoint     AB|PS|PS_r                       5987.316278378554    All      0.5070147675644866         -0.031163030339875775      -0.3980753145047866        -0.1930664872936541        
Zeropoint     AB|PS|PS_g                       4714.67428217683     All      -0.29559336590101926       0.3074440667740319         -0.0939739202181239        0.1922355067117812         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5990.237262071962    All      0.6914057909812438         0.022421253626081494       0.31377050490835334        -0.203908136215869         
Check         All|All|All                      All                  All      0.9941655471241372         0.9969659225047778         -0.002542340016338518      0.0007987214327043191      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4544.187703521886    All      -8.86386513343557e-05      -4.9638758820692386e-05    -0.0007723036175361068     -2.1760815338365906e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5289.036994490885    All      4.824853624465041e-05      2.4421292014397477e-05     -0.00018861901146481364    -1.6178517524733686e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4220.477417822868    All      -0.00021707467902495425    5.9778017484693234e-05     -0.00047763420339348375    6.886541063346587e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7269.011859680559    All      -8.582250020533851e-05     8.630815974494382e-06      -9.92627154730481e-05      2.6336913407174366e-05     
Lambda        AB|PS|PS_i                       7251.936726324583    All      -9.200034733246132e-05     -1.1311068779422234e-05    -0.0003338599296014387     1.1384517328222144e-05     
Lambda        AB|PS|PS_z                       8334.244820604452    All      0.00011887777807350156     -4.2122615563058975e-05    -0.00015610792883349317    -5.940950484910395e-05     
Lambda        AB|PS|PS_r                       5987.316278378554    All      -0.00011803568807002837    -3.0488752347587736e-05    -0.00045929521966871066    8.020680986262954e-06      
Lambda        AB|PS|PS_g                       4714.67428217683     All      -2.676426289992708e-05     -1.5153832048682978e-05    -9.729966994481533e-05     -5.601380883373295e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5990.237262071962    All      -7.926787083508144e-05     -9.979623810852438e-06     -7.101746204793104e-05     1.9400278411616434e-05     
MWEBV         All|All|All                      All                  All      -0.7743688482688773        -3.9389713526460923        0.00628370444584192        -1.0305347351362002        
Redshift      All|All|All                      All                  All      5.626082709549337          0.29911635969623873        4.295327147083849          -1.5434874692842382        
