#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7414.574138610398    All      0.31908472142034383        -0.05128449359332876       0.1393106985434378         -0.11442464147010475       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4304.992661843563    All      -0.47940080849308425       0.28631301494872474        -0.15283582504371784       0.2425978226093875         
Zeropoint     AB|PS|PS_z                       8501.138435949262    All      0.1740436692866536         -0.030820436563594455      0.05991677285561714        -0.06405716871955326       
Zeropoint     AB|PS|PS_g                       4809.085839919938    All      -0.2880094993153182        0.3100094623132321         -0.1272055819250495        0.18911784915466404        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4635.185260105687    All      -0.618416187305064         0.442956513524706          -0.30638401855451747       0.3320514952077528         
Zeropoint     AB|PS|PS_r                       6107.212547497147    All      0.5813436596803511         -0.030468283573092947      0.16185641612845858        -0.1920643694605359        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5394.950190551644    All      0.4240488588249593         0.1748799175639526         0.16446454676795064        -0.073823224219478         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6110.192024016174    All      0.6651651454351188         -0.05678159023299045       0.0765790304419367         -0.23174443273536285       
Zeropoint     AB|PS|PS_i                       7397.157074965642    All      0.22584517951393104        -0.03517455533561531       0.07669769074946098        -0.08160004925630952       
Check         All|All|All                      All                  All      1.0037047390478913         1.0096295490519935         0.09239972996357704        0.006053281110460038       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7414.574138610398    All      -4.6374222530135656e-05    -1.8771250708027303e-05    -0.0002833140883824801     -3.651810516707305e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4304.992661843563    All      -0.0002649495254976135     7.814244041697075e-05      -0.0004212197466255678     9.29592379892122e-05       
Lambda        AB|PS|PS_z                       8501.138435949262    All      0.00014249215689548627     -2.7625962742881253e-05    6.095084017071967e-05      -5.269311222637751e-05     
Lambda        AB|PS|PS_g                       4809.085839919938    All      -8.697297091470372e-05     8.417743212601734e-06      -0.0003971655040542014     1.334822152178497e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4635.185260105687    All      -0.00019929124389181745    -4.261930796173468e-05     -0.000825044346214315      1.4215264006098248e-05     
Lambda        AB|PS|PS_r                       6107.212547497147    All      -0.00011277254189046972    1.1316290036847873e-06     -0.00015165778609103743    3.033454534191609e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5394.950190551644    All      0.00013125226574821973     -6.413065426534798e-05     -0.0009459712570732156     -0.00010585699746990172    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6110.192024016174    All      -0.00014873785433129773    4.673278730196752e-06      -0.00017672026481245989    4.208483934273208e-05      
Lambda        AB|PS|PS_i                       7397.157074965642    All      -3.901391873595913e-05     -6.275890902910133e-06     -0.00012372960780089227    5.1423685877285845e-06     
MWEBV         All|All|All                      All                  All      -0.7963807772879457        -4.039669740804008         0.021671456583183257       -1.055478818880836         
Redshift      All|All|All                      All                  All      6.232534955951271          0.3567130620393044         6.863597705317869          -1.6076576574213088        
