#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7414.574138610398    All      0.27352872480336193        -0.05236154959007422       0.04757684305432236        -0.10403004784853226       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4304.992661843563    All      -0.3863050707938651        0.24255661834686748        -0.12439020003865879       0.19928997776398577        
Zeropoint     AB|PS|PS_z                       8501.138435949262    All      0.178952042306985          -0.03604501696665707       0.03560602121484036        -0.0684426822043026        
Zeropoint     AB|PS|PS_g                       4809.085839919938    All      -0.2933537820442493        0.3659448283074518         0.06074446147857649        0.2174659939981323         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4635.185260105687    All      -0.5070677647234314        0.423333960178951          -0.05172789476223208       0.3007540727426569         
Zeropoint     AB|PS|PS_r                       6107.212547497147    All      0.5926651637982645         -0.03054674169895577       0.10901095501341886        -0.19813596243009185       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5394.950190551644    All      0.37251788381573037        0.17311072580916687        -0.07652172915465777       -0.06836828498395818       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6110.192024016174    All      0.5444348654055572         -0.04730169849693766       -0.012670087175206294      -0.19331347421677464       
Zeropoint     AB|PS|PS_i                       7397.157074965642    All      0.22191540868467208        -0.042060067754778885      0.01284671291325748        -0.08541220741704714       
Check         All|All|All                      All                  All      0.9972874712530252         0.9966310581350335         0.0004750825436606147      -0.00019261459593167274    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7414.574138610398    All      -2.3934092096389263e-05    -1.7712447055910617e-05    -0.00020347730322302075    -7.053663029666189e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4304.992661843563    All      -0.00019878662054594485    6.73002363702865e-05       -0.00034381317591295293    7.13304403309957e-05       
Lambda        AB|PS|PS_z                       8501.138435949262    All      0.0002000333347465103      -4.006929444250553e-05     6.479245579293775e-05      -7.531793574768188e-05     
Lambda        AB|PS|PS_g                       4809.085839919938    All      -0.00010240893463116878    -9.024226283177634e-06     -0.000507210206149768      7.784009806342972e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4635.185260105687    All      -0.00013793817704443659    -2.6387033074198396e-05    -0.0006604988426932092     6.860847726797564e-06      
Lambda        AB|PS|PS_r                       6107.212547497147    All      -8.520582687198204e-05     -4.910274893748062e-06     -0.00013145092207353203    2.0288852004612406e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5394.950190551644    All      1.7189201117239562e-05     -3.609105287630337e-05     -0.0008186788334815835     -5.388900787639085e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6110.192024016174    All      -9.876955272899276e-05     6.081703276093924e-07      -8.571403104721272e-05     2.854557029418046e-05      
Lambda        AB|PS|PS_i                       7397.157074965642    All      -2.0956884836142565e-05    -1.2986518476921755e-05    -0.00013751169827349837    -3.5403049850972216e-06    
MWEBV         All|All|All                      All                  All      -0.7804080951970649        -4.045847148786308         0.01295053330679122        -1.0630830066860628        
Redshift      All|All|All                      All                  All      5.958123135439642          0.4197042642648974         6.120137983462691          -1.530931585485458         
