#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5838.009342787322     All      0.7681816045427652        0.0240971546743296        -1.4839201611700845       -0.30859332636766684      
Zeropoint     AB|DECam|DECam_r          4805.439961947765     All      -0.172545551724957        0.6775215629181375        -0.028403440040350555     0.27562731053992395       
Zeropoint     AB|DECam|DECam_g          3615.6293152144744    All      -0.5097738336450091       0.2850245512753702        0.1609484175739011        0.26607437072573414       
Zeropoint     AB|DECam|DECam_z          6841.288327930058     All      0.905362473589933         0.014245907721388562      1.36163680192398          -0.22950238566936784      
Check         All|All|All               All                   All      0.9912246927627321        1.0008891765892258        0.010261618287445984      0.0036059692286234124     
Lambda        AB|DECam|DECam_i          5838.009342787322     All      -7.543935998803491e-05    5.422540522228077e-06     0.00041329246005708417    4.478272558243764e-05     
Lambda        AB|DECam|DECam_r          4805.439961947765     All      -0.0001620021805031651    -4.432624188989984e-05    -0.0015114806713547677    -2.911951575320455e-05    
Lambda        AB|DECam|DECam_g          3615.6293152144744    All      -0.0008559980674072068    0.00040182481759530467    -0.0005880424604580474    0.0003834726605601821     
Lambda        AB|DECam|DECam_z          6841.288327930058     All      -0.0006559165854106591    -9.467974466323974e-06    -0.0009272288752728294    0.00016919161401692426    
MWEBV         All|All|All               All                   All      -0.45735852904172347      -2.7390288590016354       0.1260170150280334        -0.7375915305866682       
Redshift      All|All|All               All                   All      6.390805819517671         0.4672160713878881        9.90797458301036          -1.4873606613216168       
