#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6033.667230740454    All      1.0485926322884493         0.007144343952791843       -1.2272464790827302        -0.39400034396416667       
Zeropoint     AB|PS|PS_g                4751.17304604608     All      -1.0790086914877128        1.1951825447604314         0.285195517406892          0.7535058704015923         
Zeropoint     AB|PS|PS_z                8398.764576483603    All      0.29097426355936196        -0.06964146346293276       0.00667856865893449        -0.11716637235049533       
Zeropoint     AB|PS|PS_i                7308.077768171201    All      0.7376711267353546         -0.1338782617457568        0.9410715421714076         -0.241896608209651         
Check         All|All|All               All                  All      0.9982293310954531         0.9988071635045337         0.005699149154503869       0.0004425458772793489      
Lambda        AB|PS|PS_r                6033.667230740454    All      -0.0001748997256471587     -2.6492255719720826e-05    -0.0007834061849003488     1.3381375438465821e-05     
Lambda        AB|PS|PS_g                4751.17304604608     All      -0.00020163025146949904    -8.2159087804286e-05       -0.0007787899469754927     4.161870009632088e-06      
Lambda        AB|PS|PS_z                8398.764576483603    All      0.00025466723114968715     -6.986117297380024e-05     -0.00010285765804999981    -0.00011029964276102195    
Lambda        AB|PS|PS_i                7308.077768171201    All      -0.0003512447301823844     3.289098612976123e-05      -0.0013506670265299777     6.485157448779762e-05      
MWEBV         All|All|All               All                  All      -0.6926209839258348        -4.013123898352333         0.10589113493537265        -1.07687160551803          
Redshift      All|All|All               All                  All      5.594393164792078          1.2621248037854471         12.37059782220396          -0.859119367871234         
