#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6033.667230740454    All      1.0369586475299781         0.00908433132185138       -1.1508622562060755       -0.3861701776248727        
Zeropoint     AB|PS|PS_g                4751.17304604608     All      -1.087629272856096         1.203696346555283         0.31259773246511413       0.7603099377065471         
Zeropoint     AB|PS|PS_z                8398.764576483603    All      0.29251556109718085        -0.07312588112027285      -0.03770077786987014      -0.12078385953929183       
Zeropoint     AB|PS|PS_i                7308.077768171201    All      0.7561691048173305         -0.13974092246940018      0.8871883828900917        -0.2522362276321785        
Check         All|All|All               All                  All      0.9980140405883936         0.9999138742874614        0.011223081279260194      0.0011196729102040393      
Lambda        AB|PS|PS_r                6033.667230740454    All      -0.00023384008076467842    -4.444854994586077e-05    -0.0009177516599673443    2.0736010880550976e-05     
Lambda        AB|PS|PS_g                4751.17304604608     All      -0.0001649171312598273     -0.0001550694521412359    -0.001108996661829703     -4.6281714512077495e-05    
Lambda        AB|PS|PS_z                8398.764576483603    All      0.00025400029584310706     -6.639705413645496e-05    -8.556993285388792e-05    -0.00010818255074284842    
Lambda        AB|PS|PS_i                7308.077768171201    All      -0.0004035113419780708     3.9052717474508954e-05    -0.0014409677552149325    7.985390129906646e-05      
MWEBV         All|All|All               All                  All      -0.6940229892402243        -4.010307887260645        0.13406089641474495       -1.074240571730163         
Redshift      All|All|All               All                  All      5.995401646206988          1.5943901988771714        14.756272266602716        -0.7750495592199493        
