#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4472.629508336821     All      1.0972457169004424       0.34694830390602505        0.9436092185077509         -0.20228760588236336       
Zeropoint     AB|MEGACAMPSF|i           3883.3016199836925    All      1.1412454024158856       0.7958972670749631         -1.1828506345513035        -0.1652764404802772        
Zeropoint     AB|MEGACAMPSF|r           3171.47348769498      All      -1.2429753747854368      -0.1447352743788599        0.23769844982557256        0.3683403218347493         
Check         All|All|All               All                   All      0.9955157445308912       0.9981102966021282         -0.0015429662179799741     0.0007762754721087339      
Lambda        AB|MEGACAMPSF|z           4472.629508336821     All      -8.90177132693921e-05    -2.842930105785584e-05     -0.00018473970906343756    1.1491554420145051e-05     
Lambda        AB|MEGACAMPSF|i           3883.3016199836925    All      0.0011253176078289027    0.0008074267048287443      -0.0023821593153346304     -0.00020985235478860026    
Lambda        AB|MEGACAMPSF|r           3171.47348769498      All      -0.002471188514284939    -0.00028514752621589624    0.0005349016440984202      0.0007359356720881194      
MWEBV         All|All|All               All                   All      -0.6173933212999192      -1.6016218024015316        0.13249449779839853        -0.314682975538512         
Redshift      All|All|All               All                   All      6.3471678884614535       1.313926808276733          1.301389231487482          -1.5814171841924871        
