#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.565631865037     All      -0.5046766473326363       0.748497780555013         -1.8851804279090334       0.3240731952000364         
Zeropoint     AB|CNIa02|SDSS_i                      7407.560655909977     All      1.082137384223441         -0.23749763962754855      2.9381946939790735        -0.2987304074188457        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4330.4059193142575    All      -0.3498211100792874       0.5462105597885625        1.4088402002022604        0.3547370610083256         
Zeropoint     AB|CNIa02|SDSS_r                      6108.447841617239     All      0.7927681189786753        -0.06481067063646151      -2.4605011219987594       -0.3891424896837026        
Check         All|All|All                           All                   All      1.0204077457901926        0.9924000300795655        0.0013533442735411683     -0.009062640894186291      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.565631865037     All      -0.0005864406025802143    0.0005663930179646765     -0.0015424337491229641    0.00030668410322965626     
Lambda        AB|CNIa02|SDSS_i                      7407.560655909977     All      0.00014375700322948975    8.526839228509518e-05     0.0010833393571057746     2.929279510719757e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4330.4059193142575    All      -0.0003753392484272971    0.0006570262629418982     0.0017829121557910502     0.0004158385917630519      
Lambda        AB|CNIa02|SDSS_r                      6108.447841617239     All      0.00036458115184497626    -0.0001871569296250609    -0.003138817461638697     -0.00031979025202427973    
MWEBV         All|All|All                           All                   All      -0.7107693944757738       -4.0644222624592885       0.9160603861921912        -1.051515503281819         
Redshift      All|All|All                           All                   All      4.76470296606746          -5.980018574393675        2.874921997890306         -3.3716147318404444        
