#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.565631865037     All      -0.001804724950412423      0.5309304309880858        -2.155576288980709         0.0773358971818049        
Zeropoint     AB|CNIa02|SDSS_i                      7407.560655909977     All      0.6829756151066009         -0.121542164154409        1.5788853346391964         -0.19159950762717912      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4330.4059193142575    All      -0.8778875981780264        0.7354874374463805        1.002665411953575          0.570273679824771         
Zeropoint     AB|CNIa02|SDSS_r                      6108.447841617239     All      1.1919167218578741         -0.14601166173324742      -0.43306885930272343       -0.45513316524937936      
Check         All|All|All                           All                   All      0.9952000138360358         0.9988640425468098        -0.007094401690661112      0.0008769041300173974     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.565631865037     All      -0.00028303659834585926    1.442938866026553e-05     -0.002365199494495012      -8.653532162766077e-06    
Lambda        AB|CNIa02|SDSS_i                      7407.560655909977     All      -0.00011500905978109061    3.6807625831967224e-05    -0.00014426329917009345    4.301388066018079e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4330.4059193142575    All      -3.7736766174593326e-06    4.976207273452079e-06     4.7866169779454234e-05     4.9861723617904365e-06    
Lambda        AB|CNIa02|SDSS_r                      6108.447841617239     All      -0.0002880710781105793     -5.188047035740132e-06    -0.0014216920227867276     2.87007244146767e-05      
MWEBV         All|All|All                           All                   All      -0.8595117815104647        -4.047886299105485        0.2814928077388668         -1.0259967436269695       
Redshift      All|All|All                           All                   All      6.340945933279777          -1.060409739601642        9.707595522458176          -1.9776596372327848       
