#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3414.305820546725    All      -0.8894904495335425       0.19243812052280873        0.39253114784447707        0.369936591957995         
Zeropoint     AB|SDSS|SDSS_r            4461.477023427134    All      0.9032109968000347        0.472779533433787          -0.8251060789658315        -0.1770263831220087       
Zeropoint     AB|SDSS|SDSS_z            6432.420288710404    All      0.0685162180948648        0.022123915880278844       0.13486939486773153        -0.009092897432477764     
Zeropoint     AB|SDSS|SDSS_i            5410.320677672416    All      0.9160150878278144        0.3120133251844237         0.30560376782009513        -0.1831055525902403       
Check         All|All|All               All                  All      0.9982518531891714        0.9993548950212983         0.00789823156647218        0.0007117588132682373     
Lambda        AB|SDSS|SDSS_g            3414.305820546725    All      -0.0011134160795379143    -0.00012451484970976524    -0.0042794746928418274     0.00013114436381394748    
Lambda        AB|SDSS|SDSS_r            4461.477023427134    All      -0.000737914341935422     -0.0002615839102777035     -0.002363000017010456      4.970665450400198e-05     
Lambda        AB|SDSS|SDSS_z            6432.420288710404    All      1.803200808288836e-05     3.824801076939229e-06      0.0002623220356468575      7.078472924322588e-06     
Lambda        AB|SDSS|SDSS_i            5410.320677672416    All      -7.586871073413139e-05    -1.4762449672845469e-05    -0.00019599189677221341    1.1158101369215861e-05    
MWEBV         All|All|All               All                  All      -0.7613160532281433       -2.548508428841778         0.4835444379966414         -0.5605689861915619       
Redshift      All|All|All               All                  All      4.157631074510822         1.5509011988894983         -1.3125251808204175        -0.9076696499653814       
