#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3414.305820546725    All      -0.915767458025694         0.21827345159390887        0.08844782625709623        0.3733414533605294         
Zeropoint     AB|SDSS|SDSS_r            4461.477023427134    All      0.6366667174871261         0.4092921560763685         -0.6441670182948355        -0.10280959052675898       
Zeropoint     AB|SDSS|SDSS_z            6432.420288710404    All      0.15937113977957107        0.03855063916393675        0.1740144260703979         -0.03158974731074587       
Zeropoint     AB|SDSS|SDSS_i            5410.320677672416    All      1.1153759319793164         0.3323115285295941         0.38503840033441317        -0.2378873428677224        
Check         All|All|All               All                  All      0.9956463312203195         0.9984277753638082         0.003333634367071847       0.0010547726553021275      
Lambda        AB|SDSS|SDSS_g            3414.305820546725    All      -0.0012297126793459827     0.0002028598721545271      -0.0010945197628917688     0.00041779262019033794     
Lambda        AB|SDSS|SDSS_r            4461.477023427134    All      -0.00035226602664211777    -0.00011129114263345052    -0.0016325115425699984     5.641955269243484e-06      
Lambda        AB|SDSS|SDSS_z            6432.420288710404    All      -2.8787707484261253e-05    -8.429805513295732e-06     -3.3886285523456367e-05    5.119049138192834e-06      
Lambda        AB|SDSS|SDSS_i            5410.320677672416    All      0.0001317836325871077      5.067741547176902e-05      0.000125295807261944       -2.0827586814479596e-05    
MWEBV         All|All|All               All                  All      -0.6925212239580636        -2.569126859547133         0.18644379218934823        -0.6029520638629083        
Redshift      All|All|All               All                  All      3.734714064063567          0.5306855179414427         -2.2961886203605335        -1.1461258589939798        
