#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          4245.337720109446    All      -3.918344552650702        0.7908601571323004         -0.31711270497435384      1.5197916186324156         
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4944.397790077567    All      4.921737385407319         0.2109206457378221         0.31824157215447624       -1.5202663336431055        
Check         All|All|All                  All                  All      1.0033928327566173        1.0017808028701225         0.0011288671801223948     -0.00047471501068985233    
Lambda        VEGAHST|ACSWF|F775W          4245.337720109446    All      -0.0005983621262909849    4.87488971084017e-05       -0.00094437503601071      0.00016864222914199326     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4944.397790077567    All      -0.001012209382889582     -0.00011537274990088427    -0.0012233606912852909    0.00023753622745361987     
MWEBV         All|All|All                  All                  All      0.13025172423210707       -1.7707384658805836        0.003492996174836449      -0.6190591692627812        
Redshift      All|All|All                  All                  All      10.064593801698031        1.2694396122849838         3.852925058102863         -2.692932721971647         
