#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          4245.337720109446    All      -3.780071021134837        0.8151192801157947        -0.23840268497777342       1.4861658415011978         
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4944.397790077567    All      4.779716944372607         0.18647931573951837       0.23822434217494062        -1.4855377504088347        
Check         All|All|All                  All                  All      0.9996459232377705        1.001598595855313         -0.00017834280283279824    0.0006280910923630589      
Lambda        VEGAHST|ACSWF|F775W          4245.337720109446    All      -0.001838627210081471     0.0002827131816252746     -0.0013187356438966547     0.0006321412405514345      
Lambda        VEGAHST|ACSWF|F850LP_3pix    4944.397790077567    All      5.4630736380897676e-05    -8.697732362484427e-05    -0.0014456657271294795     -0.00011063982560992856    
MWEBV         All|All|All                  All                  All      0.12419565612649408       -1.7708101064474846       0.005274023587703877       -0.6170303652581314        
Redshift      All|All|All                  All                  All      9.04132196273817          0.6272327745858064        3.6814831551338614         -2.576457979120203         
