#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8460.25325362753     All      0.4878486696475368         -0.11200748066979571      0.26970188047688964       -0.18335732660977155       
Zeropoint     AB|PS|PS_i                7361.581355554517    All      0.5576824453816521         -0.08908484467298194      0.5383995137679535        -0.186647086862679         
Zeropoint     AB|PS|PS_r                6077.840658030427    All      0.9608564507622229         -0.051640742794845096     -1.2865070637103027       -0.38721454764996077       
Zeropoint     AB|PS|PS_g                4785.957131589001    All      -1.006061355751269         1.2517308777334257        0.49309792814596576       0.7574419054204209         
Check         All|All|All               All                  All      1.000326210040143          0.998997809595803         0.014692258680506276      0.00022294429800950866     
Lambda        AB|PS|PS_z                8460.25325362753     All      0.0007025591373240413      -0.0001295674396622041    0.0007334855306280993     -0.0002383189118209107     
Lambda        AB|PS|PS_i                7361.581355554517    All      6.837575832278794e-06      -7.664860684986843e-05    -0.0006340292396912342    -5.548800928985222e-05     
Lambda        AB|PS|PS_r                6077.840658030427    All      -0.00010019167879381517    -6.206561857796237e-05    -0.0006322791218422528    -1.5796801132422096e-05    
Lambda        AB|PS|PS_g                4785.957131589001    All      -0.00019149350382470298    0.0002101943028694157     0.0008724344738304249     0.00016977567739703155     
MWEBV         All|All|All               All                  All      -0.6390718830315678        -4.060926495541928        0.18420095001719858       -1.1063905805726397        
Redshift      All|All|All               All                  All      3.1396808354205623         0.7872475806715684        -1.2882189806114954       -0.8237522003559508        
