#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8460.25325362753     All      0.46956600964403045        -0.12165083694055667      0.11240829412153541       -0.18756251149509343       
Zeropoint     AB|PS|PS_i                7361.581355554517    All      0.7847769331454298         -0.10092351329475946      1.250677695962521         -0.23268977266883514       
Zeropoint     AB|PS|PS_r                6077.840658030427    All      0.7220389864648565         -0.0051769233946785675    -1.7394006137005924       -0.31449960714544506       
Zeropoint     AB|PS|PS_g                4785.957131589001    All      -0.9780489032331072        1.2255899721897556        0.3928422466610293        0.7353284245001381         
Check         All|All|All               All                  All      0.9983330260212092         0.9978386985597609        0.01652762304449329       0.000576533190764561       
Lambda        AB|PS|PS_z                8460.25325362753     All      0.0005986756609983104      -0.000192518972912854     -6.890830478661565e-05    -0.00026079318295339765    
Lambda        AB|PS|PS_i                7361.581355554517    All      -0.0001337401709880677     -7.174679228811398e-05    -0.001187738712008092     -3.281004066617423e-05     
Lambda        AB|PS|PS_r                6077.840658030427    All      -0.00014427442428970624    -8.632822415544132e-05    -0.0006356953149975707    -9.493178508274362e-06     
Lambda        AB|PS|PS_g                4785.957131589001    All      -0.0002588732093923324     0.00016200423457780693    0.00014127486598861214    0.00014339807837478153     
MWEBV         All|All|All               All                  All      -0.6283358069039724        -4.072129023884585        0.14492471187863565       -1.1152894239261368        
Redshift      All|All|All               All                  All      3.853324236134646          0.9739415251450723        2.3659228993395676        -0.8323294051400822        
