#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7409.723566840797    All      0.4352980889965878         -0.05694650389065359       0.1354747343047828         -0.15429464309038637       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4632.152948559638    All      -0.6515829659669962        0.5677306953778327         0.0038673589567970595      0.397343156196062          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5391.420845156548    All      0.7231909544342806         0.15428937868069426        -0.1263300854573712        -0.1909474910297219        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6106.194771526081    All      1.158366223761978          -0.0756632893001985        0.07758826141419267        -0.39850160301251863       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4302.176360396776    All      -0.6663073585558288        0.4079137493412155         -0.08920862097343461       0.34592818463312175        
Check         All|All|All                      All                  All      0.9989649426700213         0.9973240302088904         0.0013916482449667228      -0.00047239630344314554    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7409.723566840797    All      -7.051529593375242e-05     -1.0276334311565007e-06    -0.00014821251439028178    1.6020373951507268e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4632.152948559638    All      -5.6976880514555424e-05    -8.040068921625676e-05     -0.0008871982177602785     -4.722148681917248e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5391.420845156548    All      0.0001310636497148324      2.4823659274090054e-06     -0.0007320329057216483     -7.45504208049802e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6106.194771526081    All      -0.00014639752313606695    -5.391451312361114e-06     -0.00020017089785922477    3.699760873517656e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4302.176360396776    All      -0.0002501345929414217     7.80604162378285e-05       -0.0005461278565300527     8.253273382235603e-05      
MWEBV         All|All|All                      All                  All      -0.861732037851489         -4.016707315007739         0.021834168349714255       -1.026704884720632         
Redshift      All|All|All                      All                  All      3.7932843431106438         0.1728805652567722         2.282665010149612          -1.077419762691653         
