#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7409.723566840797    All      0.4736667343713673         -0.056568284008307046      0.21819681467826757        -0.16297786800285075      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4632.152948559638    All      -0.6746484310051051        0.5421170825131938         -0.19469956243738928       0.3876520109004484        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5391.420845156548    All      0.7280038768814702         0.1584988045833846         -0.09914164821364646       -0.18993077462650004      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6106.194771526081    All      1.1638143383065456         -0.07302732171252657       0.1277747541468366         -0.39717801912083245      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4302.176360396776    All      -0.6911895613470975        0.4263208381201977         -0.04909635208256158       0.36181895740455516       
Check         All|All|All                      All                  All      0.9996469572071807         0.9973411194959425         0.0030340060915068356      -0.0006156934451796992    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7409.723566840797    All      -8.013946929752555e-05     -1.8610811818045732e-06    -0.00018461118174001496    1.7259497139198347e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4632.152948559638    All      -2.010633570246226e-05     -8.98150928711128e-05      -0.0009062994125627679     -6.315041585985334e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5391.420845156548    All      0.0001716654828886648      1.5581328365878022e-05     -0.0006873102007433755     -8.151324170183363e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6106.194771526081    All      -0.00014383502567526287    -8.034380655193657e-06     -0.00022825150110675194    3.404892161838573e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4302.176360396776    All      -0.0002905575822019397     0.00010385728628653481     -0.0004987253251323736     0.00010621807783235809    
MWEBV         All|All|All                      All                  All      -0.8656341751786818        -4.017251629788898         0.014231055683744387       -1.025950423446757        
Redshift      All|All|All                      All                  All      3.4320966341815593         0.06406156858806966        1.8038825823205096         -1.0165808312102866       
