#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4688.462606974872    All      -0.6674971831403745        0.5304707033472411         -0.001839845971762788     0.39013544872621636        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5456.960361993516    All      0.78388410729709           0.2032770740616474         -0.34922073399555886      -0.20470692957421308       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6180.42326648725     All      1.193307208861883          -0.11891722795036586       0.19940048467796956       -0.4185363421535398        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7499.798097546837    All      0.44156059277242815        -0.07212661779458784       0.2891356774276099        -0.15442202695747018       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4354.474737412017    All      -0.840866954261726         0.45460973109738845        -0.20600734048216163      0.41278621489024697        
Check         All|All|All                      All                  All      0.9103877715293008         0.9973136627613233         -0.06853175834390379      0.025256364931240283       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4688.462606974872    All      -1.6557854179821788e-05    -0.00011755402230549722    -0.0006903054894649277    -6.370293817015327e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5456.960361993516    All      -1.9957463317163686e-05    -1.5958873640544977e-05    -0.0011241109139600582    -4.8861435027983484e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6180.42326648725     All      -0.00017121987585333806    4.802365340837966e-08      2.914197292403013e-06     5.591763665661422e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7499.798097546837    All      -3.2122629756513236e-05    1.6535313783342672e-06     -8.889197216354877e-05    7.035166432717042e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4354.474737412017    All      -0.0005991135320059087     0.00019441538681130643     -0.0006425337707348851    0.00022980514404773156     
MWEBV         All|All|All                      All                  All      -0.9004208319845279        -4.081300011935696         0.0358138426545751        -1.034518789416121         
Redshift      All|All|All                      All                  All      6.963970115453755          -0.29118303164432646       6.833087485885169         -2.0583127561992876        
