#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4688.462606974872    All      -0.6534576400149812        0.6101602370367942        0.23834578242067986        0.4222381919359637         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5456.960361993516    All      0.6859362614533037         0.180848019769142         -0.42111224658278806       -0.18331616269250933       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6180.42326648725     All      1.198559108399186          -0.12716651926791833      -0.0018076082570825775     -0.43191311726329795       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7499.798097546837    All      0.4418746719616319         -0.0761532875118931       0.30940109304191854        -0.15493159925953817       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4354.474737412017    All      -0.6741587598896739        0.40964462522286027       -0.12246273095491639       0.3475654693718927         
Check         All|All|All                      All                  All      0.9987536419094668         0.9973330752489851        0.002364289667811381       -0.00035721790748910465    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4688.462606974872    All      -0.0002549943393608327     -4.673444498390401e-05    -0.0006308485850482436     3.9685224177628436e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5456.960361993516    All      0.00014478638333606612     -7.962591520813621e-06    -0.0010575237206903068     -9.694779302653152e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6180.42326648725     All      -0.0002157367017263675     7.767861488354261e-06     -0.0002298141573563964     6.254723897618745e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7499.798097546837    All      -7.573812506937394e-05     1.1191982193983972e-05    -0.00027840239383898635    1.5892175670168333e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4354.474737412017    All      -0.00044866560135654106    0.00018402186312325796    -0.0005584511631689361     0.00018116601144158135     
MWEBV         All|All|All                      All                  All      -0.8809625488260253        -4.0810986012597805       0.051023521496308066       -1.0401126482048082        
Redshift      All|All|All                      All                  All      7.209006647043019          -0.4521822809072873       6.232238189276893          -2.217385112709893         
